iter	Passed	Remaining
0	70	70826
1	154	76925
2	237	78894
3	329	82032
4	430	85592
5	519	86060
6	604	85763
7	686	85174
8	771	84913
9	854	84579
10	936	84240
11	1020	84019
12	1102	83711
13	1189	83762
14	1327	87165
15	1415	87057
16	1498	86629
17	1581	86263
18	1676	86549
19	1769	86710
20	1853	86398
21	1937	86110
22	2020	85846
23	2104	85587
24	2186	85287
25	2271	85094
26	2353	84817
27	2490	86451
28	2586	86605
29	2682	86747
30	2764	86398
31	2847	86125
32	2928	85810
33	3009	85507
34	3092	85263
35	3174	85007
36	3258	84805
37	3339	84541
38	3455	85137
39	3577	85853
40	3660	85616
41	3752	85590
42	3843	85530
43	3925	85290
44	4007	85039
45	4089	84820
46	4168	84526
47	4253	84353
48	4339	84217
49	4432	84217
50	4523	84177
51	4607	84003
52	4696	83912
53	4781	83773
54	4880	83851
55	4965	83711
56	5053	83603
57	5139	83471
58	5220	83262
59	5303	83083
60	5385	82901
61	5468	82739
62	5553	82592
63	5697	83330
64	5889	84712
65	6018	85167
66	6141	85527
67	6287	86181
68	6421	86647
69	6505	86425
70	6588	86211
71	6685	86162
72	6777	86069
73	6858	85826
74	6945	85655
75	7029	85458
76	7113	85273
77	7195	85052
78	7279	84867
79	7361	84655
80	7444	84463
81	7528	84281
82	7609	84074
83	7693	83900
84	7778	83732
85	7870	83644
86	7958	83514
87	8108	84038
88	8200	83938
89	8297	83899
90	8382	83730
91	8472	83618
92	8566	83542
93	8659	83463
94	8744	83299
95	8832	83175
96	8918	83025
97	9008	82911
98	9092	82752
99	9175	82582
100	9260	82428
101	9343	82258
102	9426	82093
103	9513	81960
104	9599	81825
105	9684	81680
106	9765	81504
107	9851	81367
108	9934	81206
109	10016	81045
110	10101	80902
111	10214	80989
112	10334	81124
113	10419	80979
114	10502	80821
115	10588	80693
116	10677	80584
117	10763	80452
118	10848	80315
119	10931	80167
120	11016	80027
121	11102	79904
122	11193	79807
123	11276	79664
124	11359	79517
125	11442	79374
126	11540	79329
127	11621	79174
128	11706	79041
129	11787	78887
130	11871	78749
131	11952	78599
132	12035	78454
133	12118	78315
134	12199	78167
135	12283	78039
136	12366	77899
137	12523	78229
138	12609	78109
139	12693	77974
140	12777	77843
141	12926	78102
142	13010	77969
143	13092	77827
144	13177	77701
145	13261	77570
146	13345	77442
147	13428	77305
148	13510	77165
149	13592	77022
150	13675	76891
151	13758	76758
152	13859	76728
153	13955	76661
154	14038	76532
155	14121	76401
156	14204	76268
157	14288	76145
158	14371	76015
159	14453	75879
160	14536	75749
161	14651	75788
162	14786	75928
163	14869	75797
164	14951	75662
165	15034	75533
166	15117	75404
167	15200	75280
168	15284	75154
169	15366	75025
170	15451	74906
171	15534	74780
172	15652	74826
173	15878	75378
174	15984	75354
175	16090	75333
176	16240	75515
177	16353	75521
178	16473	75555
179	16561	75447
180	16606	75143
181	16690	75013
182	16775	74891
183	16879	74858
184	17048	75104
185	17133	74981
186	17216	74850
187	17300	74721
188	17355	74471
189	17439	74346
190	17523	74220
191	17604	74087
192	17690	73969
193	17772	73840
194	17858	73725
195	17945	73611
196	18026	73479
197	18120	73395
198	18201	73264
199	18305	73222
200	18405	73162
201	18499	73083
202	18588	72979
203	18672	72860
204	18774	72809
205	18860	72694
206	18943	72570
207	19025	72443
208	19170	72554
209	19258	72449
210	19342	72326
211	19427	72213
212	19513	72099
213	19595	71972
214	19681	71859
215	19784	71811
216	19866	71683
217	19949	71561
218	20030	71434
219	20113	71311
220	20195	71185
221	20277	71062
222	20358	70934
223	20440	70811
224	20523	70690
225	20604	70567
226	20701	70495
227	20786	70382
228	20875	70284
229	20962	70180
230	21048	70071
231	21142	69990
232	21224	69867
233	21346	69877
234	21433	69772
235	21514	69647
236	21597	69530
237	21695	69460
238	21777	69342
239	21859	69221
240	21940	69098
241	22020	68974
242	22101	68852
243	22185	68737
244	22276	68648
245	22358	68530
246	22443	68421
247	22524	68300
248	22621	68228
249	22704	68114
250	22787	67998
251	22870	67885
252	22973	67830
253	23066	67745
254	23154	67648
255	23247	67563
256	23329	67446
257	23412	67332
258	23509	67260
259	23617	67218
260	23702	67111
261	23785	66999
262	23869	66887
263	23959	66797
264	24042	66683
265	24126	66574
266	24212	66470
267	24295	66358
268	24386	66270
269	24478	66183
270	24571	66098
271	24653	65985
272	24738	65877
273	24827	65783
274	24915	65685
275	24998	65576
276	25081	65465
277	25173	65379
278	25268	65299
279	25352	65191
280	25435	65081
281	25516	64967
282	25684	65074
283	25909	65320
284	26032	65310
285	26159	65306
286	26266	65253
287	26397	65260
288	26496	65186
289	26579	65074
290	26664	64967
291	26750	64860
292	26838	64760
293	26922	64650
294	27003	64534
295	27086	64422
296	27168	64308
297	27253	64202
298	27337	64091
299	27422	63984
300	27505	63874
301	27587	63761
302	27672	63655
303	27765	63567
304	27851	63465
305	27936	63359
306	28074	63372
307	28162	63273
308	28244	63162
309	28334	63067
310	28438	63004
311	28536	62927
312	28651	62887
313	28739	62787
314	28833	62702
315	28929	62618
316	29012	62508
317	29095	62399
318	29179	62292
319	29263	62185
320	29347	62076
321	29428	61963
322	29511	61856
323	29594	61747
324	29676	61636
325	29760	61528
326	29859	61453
327	29947	61355
328	30037	61260
329	30118	61149
330	30248	61137
331	30335	61035
332	30425	60942
333	30508	60833
334	30593	60731
335	30674	60618
336	30756	60509
337	30839	60401
338	30926	60302
339	31015	60206
340	31104	60111
341	31195	60018
342	31296	59946
343	31391	59863
344	31477	59762
345	31562	59657
346	31645	59552
347	31728	59445
348	31811	59339
349	31895	59234
350	31979	59130
351	32063	59025
352	32146	58919
353	32224	58805
354	32308	58702
355	32422	58651
356	32555	58637
357	32645	58542
358	32728	58436
359	32811	58331
360	32898	58233
361	32999	58158
362	33085	58059
363	33170	57957
364	33256	57856
365	33338	57750
366	33422	57646
367	33533	57589
368	33624	57499
369	33708	57395
370	33794	57296
371	33880	57196
372	33963	57092
373	34045	56985
374	34129	56882
375	34224	56798
376	34308	56695
377	34391	56590
378	34477	56491
379	34574	56411
380	34708	56389
381	34821	56333
382	34906	56233
383	34993	56135
384	35081	56039
385	35166	55938
386	35260	55852
387	35358	55771
388	35445	55674
389	35542	55592
390	35684	55580
391	35881	55652
392	36035	55657
393	36149	55601
394	36276	55562
395	36383	55493
396	36468	55391
397	36551	55286
398	36638	55187
399	36718	55078
400	36843	55035
401	36964	54987
402	37048	54882
403	37133	54781
404	37217	54678
405	37300	54572
406	37384	54469
407	37467	54364
408	37550	54259
409	37633	54155
410	37719	54055
411	37802	53951
412	37889	53852
413	37973	53749
414	38055	53644
415	38140	53542
416	38223	53439
417	38306	53336
418	38397	53243
419	38486	53147
420	38583	53063
421	38676	52974
422	38772	52888
423	38866	52799
424	38952	52700
425	39109	52697
426	39200	52603
427	39284	52501
428	39366	52397
429	39450	52295
430	39536	52196
431	39617	52090
432	39701	51988
433	39786	51887
434	39870	51786
435	39954	51684
436	40037	51581
437	40124	51484
438	40222	51400
439	40305	51297
440	40388	51195
441	40469	51090
442	40553	50989
443	40636	50886
444	40719	50784
445	40813	50696
446	40895	50593
447	40978	50490
448	41060	50388
449	41146	50290
450	41261	50227
451	41411	50206
452	41502	50114
453	41584	50011
454	41666	49908
455	41750	49807
456	41834	49706
457	41922	49611
458	42010	49515
459	42093	49414
460	42179	49315
461	42262	49214
462	42345	49113
463	42428	49011
464	42511	48910
465	42593	48809
466	42677	48709
467	42759	48606
468	42853	48518
469	42949	48432
470	43032	48331
471	43116	48231
472	43197	48129
473	43280	48028
474	43364	47929
475	43481	47866
476	43584	47787
477	43668	47688
478	43750	47586
479	43831	47484
480	43914	47383
481	43998	47284
482	44079	47182
483	44163	47083
484	44249	46986
485	44334	46888
486	44421	46792
487	44508	46697
488	44596	46602
489	44684	46508
490	44778	46419
491	44867	46326
492	44967	46244
493	45057	46151
494	45139	46051
495	45226	45955
