listing_id,category,price_egp,period,property_type,bedrooms,bathrooms,size_sqm,location_text,lat,lng,scraped_at_utc,images_count,amenities
52973173,commercial_rent,75000.0,monthly,Shop,,1.0,52.0,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",29.97930145263672,31.43766021728516,2026-02-19T17:23:59.043047+00:00,2,"['AN', 'CP', 'DN', 'LB']"
52971363,commercial_rent,50000.0,monthly,Office Space,2.0,1.0,73.0,"Smart Village, Cairo Alexandria Desert Road, 6 October City, Giza",30.07316017150879,31.01787376403809,2026-02-19T17:23:59.043047+00:00,2,"['AN', 'CP', 'DN', 'CR', 'LB']"
52724873,commercial_rent,45000.0,monthly,Office Space,1.0,,53.0,"Business Plus, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.028099060058597,31.49541473388672,2026-02-19T17:23:59.043047+00:00,2,"['AN', 'CP', 'CR', 'LB', 'DN']"
52709462,commercial_rent,364032.0,monthly,Office Space,1.0,1.0,158.0,"UVenues, The 1st Settlement, New Cairo City, Cairo",30.007692337036133,31.403738021850582,2026-02-19T17:23:59.043047+00:00,2,"['AN', 'CP', 'DN', 'CR', 'LB']"
52724801,commercial_rent,780000.0,monthly,Half Floor,,3.0,600.0,"N 90 BUSINESS COMPLEX, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.02827835083008,31.48352813720703,2026-02-19T17:23:59.043047+00:00,2,"['AN', 'DN', 'CR']"
8719758,commercial_rent,72450.0,monthly,Office Space,1.0,1.0,63.0,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.026145935058597,31.53697395324707,2026-02-19T17:23:59.043047+00:00,2,"['AN', 'CP', 'LB']"
52191268,commercial_rent,150000.0,monthly,Office Space,3.0,2.0,95.0,"Arkan Plaza, 26th of July Corridor, Sheikh Zayed City, Giza",30.02527236938477,30.994361877441406,2026-02-19T17:23:59.043047+00:00,2,"['AN', 'CP', 'LB', 'CR']"
52723744,commercial_rent,325000.0,monthly,Office Space,,2.0,250.0,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.07310104370117,31.53912734985352,2026-02-19T17:23:59.043047+00:00,2,"['AN', 'CR']"
52723787,commercial_rent,1500000.0,monthly,Whole Building,,5.0,2700.0,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",29.94935607910156,31.263818740844727,2026-02-19T17:23:59.043047+00:00,2,"['AN', 'CR']"
52722309,commercial_rent,479000.0,monthly,Office Space,7.0,,400.0,"Smart Village, Cairo Alexandria Desert Road, 6 October City, Giza",30.07316017150879,31.01787376403809,2026-02-19T17:23:59.044046+00:00,2,"['AN', 'CP', 'DN', 'CR', 'LB']"
51023248,commercial_rent,84000.0,monthly,Office Space,3.0,1.0,84.0,"Business Plus, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.028099060058597,31.49541473388672,2026-02-19T17:23:59.044046+00:00,2,"['AN', 'CP', 'LB']"
52199274,commercial_rent,465000.0,monthly,Office Space,1.0,2.0,300.0,"South Gate Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",30.026100158691406,31.47972679138184,2026-02-19T17:23:59.044046+00:00,2,"['AN', 'CP', 'CR', 'LB']"
52718488,commercial_rent,90000.0,monthly,Office Space,2.0,1.0,72.0,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",29.955320358276367,31.4495906829834,2026-02-19T17:23:59.044046+00:00,2,"['AN', 'LB']"
52717815,commercial_rent,128250.0,monthly,Office Space,1.0,1.0,135.0,"Hyde Park Business District Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",29.973722457885746,31.54414176940918,2026-02-19T17:23:59.044046+00:00,2,"['CP', 'LB']"
8652262,commercial_rent,34000.0,monthly,Office Space,2.0,2.0,75.0,"Audaz Mall, Financial District, New Capital City, Cairo",30.00848960876465,31.738670349121094,2026-02-19T17:23:59.044046+00:00,2,"['AN', 'CP', 'CR', 'LB']"
52716910,commercial_rent,58000.0,monthly,Office Space,1.0,1.0,58.0,"Trivium Square, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.02843475341797,31.476959228515625,2026-02-19T17:23:59.044046+00:00,2,"['AN', 'LB']"
8718759,commercial_rent,80000.0,monthly,Retail,,,60.0,"Kernel Business Hub, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.019926071166992,31.43036651611328,2026-02-19T17:23:59.044046+00:00,2,['LB']
52712625,commercial_rent,150000.0,monthly,Office Space,4.0,2.0,150.0,"The Lane, 26th of July Corridor, Sheikh Zayed City, Giza",30.01826477050781,31.00983619689941,2026-02-19T17:23:59.044046+00:00,2,"['AN', 'CR', 'CP']"
8671780,commercial_rent,540000.0,monthly,Office Space,4.0,2.0,450.0,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.00575065612793,31.533998489379883,2026-02-19T17:23:59.044046+00:00,2,"['AN', 'CP', 'SY', 'CR']"
7941517,commercial_rent,233000.0,monthly,Office Space,3.0,3.0,123.0,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.01116943359375,31.516115188598636,2026-02-19T17:23:59.044046+00:00,2,"['AN', 'CP', 'LB']"
52709613,commercial_rent,50000.0,monthly,Office Space,1.0,1.0,45.0,"Cairo Business Plaza, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.02800750732422,31.48759078979492,2026-02-19T17:23:59.044046+00:00,2,"['CP', 'LB']"
52463937,commercial_rent,27000.0,monthly,Office Space,3.0,2.0,144.0,"Ja'far ibn Abi Talib St., El Yasmeen 4, El Yasmeen, New Cairo City, Cairo",30.04059410095215,31.447832107543945,2026-02-19T17:23:59.044046+00:00,2,['AN']
52461432,commercial_rent,88200.0,monthly,Office Space,1.0,1.0,64.0,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.021957397460938,31.44134521484375,2026-02-19T17:23:59.044046+00:00,2,"['CP', 'LB']"
52460298,commercial_rent,78000.0,monthly,Office Space,2.0,1.0,87.0,"Central New Cairo, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.02715492248535,31.473255157470703,2026-02-19T17:23:59.044046+00:00,2,"['LB', 'CR', 'DN', 'CP', 'AN']"
52460052,commercial_rent,329130.0,monthly,Office Space,1.0,1.0,138.0,"5A by The Waterway, Ring Road, The 5th Settlement, New Cairo City, Cairo",30.00955390930176,31.40382957458496,2026-02-19T17:23:59.044046+00:00,2,"['CP', 'LB']"
52459766,commercial_rent,144000.0,monthly,Office Space,1.0,1.0,120.0,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",29.955320358276367,31.4495906829834,2026-02-19T17:24:02.885938+00:00,2,"['CP', 'LB']"
52390254,commercial_rent,160000.0,monthly,Office Space,3.0,2.0,96.0,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",30.028350830078125,31.40838432312012,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'DN', 'CR', 'LB']"
52448825,commercial_rent,141000.0,monthly,Office Space,4.0,2.0,141.0,"Hyde Park, New Cairo City, Cairo",29.995922088623047,31.554126739501957,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'CR', 'LB']"
52448758,commercial_rent,211000.0,monthly,Office Space,4.0,2.0,132.0,"Eastmain New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.04798889160156,31.549259185791016,2026-02-19T17:24:02.885938+00:00,2,"['CP', 'AN', 'CR', 'LB']"
52448220,commercial_rent,450000.0,monthly,Bulk Rent Unit,,,1600.0,"Joya, 26th of July Corridor, 6 October City, Giza",30.006179809570312,30.99093437194824,2026-02-19T17:24:02.885938+00:00,2,"['CP', 'SY', 'DN', 'CR', 'LB']"
52447896,commercial_rent,220000.0,monthly,Office Space,4.0,2.0,200.0,"Al Narges 2, Al Narges, New Cairo City, Cairo",30.017852783203125,31.454877853393555,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'CR', 'LB']"
52447727,commercial_rent,236000.0,monthly,Office Space,4.0,2.0,148.0,"Rock Gold Mall, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.027603149414062,31.52259826660156,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'CR', 'LB']"
52445692,commercial_rent,55000.0,monthly,Office Space,1.0,1.0,55.0,"Cairo Business Plaza, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.02800750732422,31.48759078979492,2026-02-19T17:24:02.885938+00:00,2,"['CP', 'LB']"
8100601,commercial_rent,44990.0,monthly,Office Space,,1.0,30.0,"Cairo International Airport Rd, Sheraton Al Matar, El Nozha, Cairo",30.11006164550781,31.38473892211914,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CR', 'LB']"
8574514,commercial_rent,38290.0,monthly,Office Space,,2.0,30.0,"Industrial Zone St   Al Central Road, Industrial Area, 6 October City, Giza",29.938121795654297,30.91155433654785,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CR', 'LB']"
8574625,commercial_rent,28590.0,monthly,Office Space,,2.0,30.0,"Kafr Saad, Demyat",31.35981559753418,31.68651962280273,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CR', 'LB']"
8588482,commercial_rent,67890.0,monthly,Office Space,,2.0,30.0,"Street 82, Maadi, Hay El Maadi, Cairo",29.960193634033203,31.265798568725582,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CR', 'LB']"
8642193,commercial_rent,43690.0,monthly,Office Space,,1.0,30.0,"Sarayat Al Maadi, Hay El Maadi, Cairo",29.965499877929688,31.26934242248535,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'DN', 'CR']"
8648258,commercial_rent,35680.0,monthly,Office Space,,1.0,30.0,"Abdel Hamid Badawi St., El Nozha El Gadida, El Nozha, Cairo",30.116188049316406,31.36454391479492,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'DN', 'CR']"
52195535,commercial_rent,600000.0,monthly,Office Space,1.0,1.0,300.0,"Park St., Ring Road, The 5th Settlement, New Cairo City, Cairo",30.00761032104492,31.401350021362305,2026-02-19T17:24:02.885938+00:00,2,"['CP', 'LB']"
8718061,commercial_rent,80000.0,monthly,Office Space,1.0,1.0,78.0,"Trivium Square, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.02843475341797,31.476959228515625,2026-02-19T17:24:02.885938+00:00,2,"['LB', 'CR', 'DN', 'SY', 'CP', 'AN']"
8707405,commercial_rent,155000.0,monthly,Office Space,,1.0,96.0,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",30.028350830078125,31.40838432312012,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'SY', 'DN', 'CR', 'LB']"
52190703,commercial_rent,213600.0,monthly,Office Space,1.0,1.0,89.0,"5A by The Waterway, Ring Road, The 5th Settlement, New Cairo City, Cairo",30.00955390930176,31.40382957458496,2026-02-19T17:24:02.885938+00:00,2,"['CP', 'LB']"
52190208,commercial_rent,300000.0,monthly,Office Space,5.0,2.0,250.0,"Downtown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.016817092895508,31.41212654113769,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'CR', 'LB']"
52189999,commercial_rent,240000.0,monthly,Office Space,5.0,2.0,200.0,"Rock Gold Mall, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.027603149414062,31.52259826660156,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'CR', 'LB']"
52189628,commercial_rent,225000.0,monthly,Office Space,3.0,1.0,71.0,"UVenues, The 1st Settlement, New Cairo City, Cairo",30.007692337036133,31.403738021850582,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'CR', 'LB']"
8717782,commercial_rent,145000.0,monthly,Office Space,1.0,1.0,94.0,"UVenues, The 1st Settlement, New Cairo City, Cairo",30.007692337036133,31.403738021850582,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'DN', 'CR', 'LB']"
51028793,commercial_rent,184000.0,monthly,Office Space,2.0,2.0,80.0,"5A by The Waterway, Ring Road, The 5th Settlement, New Cairo City, Cairo",30.00955390930176,31.40382957458496,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'CR', 'LB']"
51151487,commercial_rent,135000.0,monthly,Office Space,,1.0,96.0,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",30.028350830078125,31.40838432312012,2026-02-19T17:24:02.885938+00:00,2,"['AN', 'CP', 'CR', 'LB']"
