amenity,count,dataset
has_amenity_ba,8139,residential_rent
has_amenity_se,7742,residential_rent
has_amenity_ac,5789,residential_rent
has_amenity_bk,5540,residential_rent
has_amenity_cp,4857,residential_rent
has_amenity_bw,4437,residential_rent
has_amenity_bl,4174,residential_rent
has_amenity_lb,4001,residential_rent
has_amenity_sy,3468,residential_rent
has_amenity_wc,3231,residential_rent
has_amenity_pg,2857,residential_rent
has_amenity_st,2808,residential_rent
has_amenity_ss,2763,residential_rent
has_amenity_sp,2695,residential_rent
has_amenity_mr,2579,residential_rent
has_amenity_vw,2074,residential_rent
has_amenity_co,1964,residential_rent
has_amenity_pp,1178,residential_rent
has_amenity_ba,12962,residential_sale
has_amenity_se,12080,residential_sale
has_amenity_cp,8933,residential_sale
has_amenity_sy,9039,residential_sale
has_amenity_bl,8569,residential_sale
has_amenity_ss,8356,residential_sale
has_amenity_sp,8269,residential_sale
has_amenity_lb,7708,residential_sale
has_amenity_wc,7378,residential_sale
has_amenity_pg,7235,residential_sale
has_amenity_vw,7180,residential_sale
has_amenity_co,7087,residential_sale
has_amenity_st,6942,residential_sale
has_amenity_bw,6620,residential_sale
has_amenity_mr,6283,residential_sale
has_amenity_ac,6020,residential_sale
has_amenity_bk,5439,residential_sale
has_amenity_pp,4607,residential_sale
has_amenity_an,7555,commercial_rent
has_amenity_cp,6082,commercial_rent
has_amenity_lb,5932,commercial_rent
has_amenity_cr,5818,commercial_rent
has_amenity_dn,3914,commercial_rent
has_amenity_sy,2470,commercial_rent
has_amenity_se,5,commercial_rent
has_amenity_bl,4,commercial_rent
has_amenity_pg,1,commercial_rent
has_amenity_ba,4,commercial_rent
has_amenity_st,2,commercial_rent
has_amenity_wc,2,commercial_rent
has_amenity_an,5694,commercial_sale
has_amenity_cp,4981,commercial_sale
has_amenity_lb,4978,commercial_sale
has_amenity_cr,4084,commercial_sale
has_amenity_dn,3229,commercial_sale
has_amenity_sy,2682,commercial_sale
has_amenity_se,2,commercial_sale
has_amenity_ba,5,commercial_sale
has_amenity_bw,2,commercial_sale
has_amenity_ac,2,commercial_sale
