feature,missing_count,dataset,total_rows,missing_percentage
id,0,residential_rent,8846,0.0
title,0,residential_rent,8846,0.0
price,0,residential_rent,8846,0.0
currency,0,residential_rent,8846,0.0
price_period,0,residential_rent,8846,0.0
price_type,0,residential_rent,8846,0.0
price_raw_value,0,residential_rent,8846,0.0
property_type,0,residential_rent,8846,0.0
location,0,residential_rent,8846,0.0
latitude,0,residential_rent,8846,0.0
longitude,0,residential_rent,8846,0.0
share_url,0,residential_rent,8846,0.0
bedrooms,336,residential_rent,8846,3.798326927424825
bathrooms,0,residential_rent,8846,0.0
size,0,residential_rent,8846,0.0
category,0,residential_rent,8846,0.0
page,0,residential_rent,8846,0.0
scraped_at_utc,0,residential_rent,8846,0.0
record_type,0,residential_rent,8846,0.0
target_log_price,0,residential_rent,8846,0.0
is_furnished,0,residential_rent,8846,0.0
has_garden,0,residential_rent,8846,0.0
sea_view,0,residential_rent,8846,0.0
pool_view,0,residential_rent,8846,0.0
corner_unit,0,residential_rent,8846,0.0
fully_finished,0,residential_rent,8846,0.0
core_shell,0,residential_rent,8846,0.0
semi_furnished,0,residential_rent,8846,0.0
hotel_apartment,0,residential_rent,8846,0.0
luxury,0,residential_rent,8846,0.0
prime_location,0,residential_rent,8846,0.0
is_duplex,0,residential_rent,8846,0.0
is_penthouse,0,residential_rent,8846,0.0
is_ground_floor,0,residential_rent,8846,0.0
is_clinic,0,residential_rent,8846,0.0
is_office,0,residential_rent,8846,0.0
is_shop,0,residential_rent,8846,0.0
is_admin,0,residential_rent,8846,0.0
has_nanny_room,0,residential_rent,8846,0.0
has_driver_room,0,residential_rent,8846,0.0
has_private_entrance,0,residential_rent,8846,0.0
has_amenity_ba,0,residential_rent,8846,0.0
has_amenity_se,0,residential_rent,8846,0.0
has_amenity_ac,0,residential_rent,8846,0.0
has_amenity_bk,0,residential_rent,8846,0.0
has_amenity_cp,0,residential_rent,8846,0.0
has_amenity_bw,0,residential_rent,8846,0.0
has_amenity_bl,0,residential_rent,8846,0.0
has_amenity_lb,0,residential_rent,8846,0.0
has_amenity_sy,0,residential_rent,8846,0.0
has_amenity_wc,0,residential_rent,8846,0.0
has_amenity_pg,0,residential_rent,8846,0.0
has_amenity_st,0,residential_rent,8846,0.0
has_amenity_ss,0,residential_rent,8846,0.0
has_amenity_sp,0,residential_rent,8846,0.0
has_amenity_mr,0,residential_rent,8846,0.0
has_amenity_vw,0,residential_rent,8846,0.0
has_amenity_co,0,residential_rent,8846,0.0
has_amenity_pp,0,residential_rent,8846,0.0
amenities_count,0,residential_rent,8846,0.0
geo_validation_status,0,residential_rent,8846,0.0
h3_res8,0,residential_rent,8846,0.0
h3_res9,0,residential_rent,8846,0.0
compound_name,0,residential_rent,8846,0.0
compound_match_confidence,0,residential_rent,8846,0.0
is_known_compound,0,residential_rent,8846,0.0
compound_frequency,0,residential_rent,8846,0.0
deterministic_price,8846,residential_rent,8846,100.0
comparable_count,8846,residential_rent,8846,100.0
confidence_score,8846,residential_rent,8846,100.0
tier_reached,8846,residential_rent,8846,100.0
retrieval_radius,8846,residential_rent,8846,100.0
median_price_per_sqm,8846,residential_rent,8846,100.0
weighted_price_per_sqm,8846,residential_rent,8846,100.0
comparable_price_std,8846,residential_rent,8846,100.0
comparable_price_iqr,8846,residential_rent,8846,100.0
median_comparable_age_days,8846,residential_rent,8846,100.0
id,0,residential_sale,13655,0.0
title,0,residential_sale,13655,0.0
price,0,residential_sale,13655,0.0
currency,0,residential_sale,13655,0.0
price_period,0,residential_sale,13655,0.0
price_type,0,residential_sale,13655,0.0
price_raw_value,0,residential_sale,13655,0.0
property_type,0,residential_sale,13655,0.0
location,0,residential_sale,13655,0.0
latitude,0,residential_sale,13655,0.0
longitude,0,residential_sale,13655,0.0
share_url,0,residential_sale,13655,0.0
bedrooms,368,residential_sale,13655,2.694983522519224
bathrooms,22,residential_sale,13655,0.1611131453679971
size,0,residential_sale,13655,0.0
category,0,residential_sale,13655,0.0
page,0,residential_sale,13655,0.0
scraped_at_utc,0,residential_sale,13655,0.0
record_type,0,residential_sale,13655,0.0
target_log_price,0,residential_sale,13655,0.0
is_furnished,0,residential_sale,13655,0.0
has_garden,0,residential_sale,13655,0.0
sea_view,0,residential_sale,13655,0.0
pool_view,0,residential_sale,13655,0.0
corner_unit,0,residential_sale,13655,0.0
fully_finished,0,residential_sale,13655,0.0
core_shell,0,residential_sale,13655,0.0
semi_furnished,0,residential_sale,13655,0.0
hotel_apartment,0,residential_sale,13655,0.0
luxury,0,residential_sale,13655,0.0
prime_location,0,residential_sale,13655,0.0
is_duplex,0,residential_sale,13655,0.0
is_penthouse,0,residential_sale,13655,0.0
is_ground_floor,0,residential_sale,13655,0.0
is_clinic,0,residential_sale,13655,0.0
is_office,0,residential_sale,13655,0.0
is_shop,0,residential_sale,13655,0.0
is_admin,0,residential_sale,13655,0.0
has_nanny_room,0,residential_sale,13655,0.0
has_driver_room,0,residential_sale,13655,0.0
has_private_entrance,0,residential_sale,13655,0.0
has_amenity_ba,0,residential_sale,13655,0.0
has_amenity_se,0,residential_sale,13655,0.0
has_amenity_cp,0,residential_sale,13655,0.0
has_amenity_sy,0,residential_sale,13655,0.0
has_amenity_bl,0,residential_sale,13655,0.0
has_amenity_ss,0,residential_sale,13655,0.0
has_amenity_sp,0,residential_sale,13655,0.0
has_amenity_lb,0,residential_sale,13655,0.0
has_amenity_wc,0,residential_sale,13655,0.0
has_amenity_pg,0,residential_sale,13655,0.0
has_amenity_vw,0,residential_sale,13655,0.0
has_amenity_co,0,residential_sale,13655,0.0
has_amenity_st,0,residential_sale,13655,0.0
has_amenity_bw,0,residential_sale,13655,0.0
has_amenity_mr,0,residential_sale,13655,0.0
has_amenity_ac,0,residential_sale,13655,0.0
has_amenity_bk,0,residential_sale,13655,0.0
has_amenity_pp,0,residential_sale,13655,0.0
amenities_count,0,residential_sale,13655,0.0
geo_validation_status,0,residential_sale,13655,0.0
h3_res8,0,residential_sale,13655,0.0
h3_res9,0,residential_sale,13655,0.0
compound_name,0,residential_sale,13655,0.0
compound_match_confidence,0,residential_sale,13655,0.0
is_known_compound,0,residential_sale,13655,0.0
compound_frequency,0,residential_sale,13655,0.0
deterministic_price,13655,residential_sale,13655,100.0
comparable_count,13655,residential_sale,13655,100.0
confidence_score,13655,residential_sale,13655,100.0
tier_reached,13655,residential_sale,13655,100.0
retrieval_radius,13655,residential_sale,13655,100.0
median_price_per_sqm,13655,residential_sale,13655,100.0
weighted_price_per_sqm,13655,residential_sale,13655,100.0
comparable_price_std,13655,residential_sale,13655,100.0
comparable_price_iqr,13655,residential_sale,13655,100.0
median_comparable_age_days,13655,residential_sale,13655,100.0
id,0,commercial_rent,8546,0.0
title,0,commercial_rent,8546,0.0
price,0,commercial_rent,8546,0.0
currency,0,commercial_rent,8546,0.0
price_period,0,commercial_rent,8546,0.0
price_type,0,commercial_rent,8546,0.0
price_raw_value,0,commercial_rent,8546,0.0
property_type,0,commercial_rent,8546,0.0
location,0,commercial_rent,8546,0.0
latitude,47,commercial_rent,8546,0.5499648958577112
longitude,47,commercial_rent,8546,0.5499648958577112
share_url,0,commercial_rent,8546,0.0
bedrooms,2993,commercial_rent,8546,35.02223262344957
bathrooms,862,commercial_rent,8546,10.086590217645682
size,0,commercial_rent,8546,0.0
category,0,commercial_rent,8546,0.0
page,0,commercial_rent,8546,0.0
scraped_at_utc,0,commercial_rent,8546,0.0
record_type,0,commercial_rent,8546,0.0
target_log_price,0,commercial_rent,8546,0.0
is_furnished,0,commercial_rent,8546,0.0
has_garden,0,commercial_rent,8546,0.0
sea_view,0,commercial_rent,8546,0.0
pool_view,0,commercial_rent,8546,0.0
corner_unit,0,commercial_rent,8546,0.0
fully_finished,0,commercial_rent,8546,0.0
core_shell,0,commercial_rent,8546,0.0
semi_furnished,0,commercial_rent,8546,0.0
hotel_apartment,0,commercial_rent,8546,0.0
luxury,0,commercial_rent,8546,0.0
prime_location,0,commercial_rent,8546,0.0
is_duplex,0,commercial_rent,8546,0.0
is_penthouse,0,commercial_rent,8546,0.0
is_ground_floor,0,commercial_rent,8546,0.0
is_clinic,0,commercial_rent,8546,0.0
is_office,0,commercial_rent,8546,0.0
is_shop,0,commercial_rent,8546,0.0
is_admin,0,commercial_rent,8546,0.0
has_nanny_room,0,commercial_rent,8546,0.0
has_driver_room,0,commercial_rent,8546,0.0
has_private_entrance,0,commercial_rent,8546,0.0
has_amenity_an,0,commercial_rent,8546,0.0
has_amenity_cp,0,commercial_rent,8546,0.0
has_amenity_lb,0,commercial_rent,8546,0.0
has_amenity_cr,0,commercial_rent,8546,0.0
has_amenity_dn,0,commercial_rent,8546,0.0
has_amenity_sy,0,commercial_rent,8546,0.0
has_amenity_se,0,commercial_rent,8546,0.0
has_amenity_bl,0,commercial_rent,8546,0.0
has_amenity_pg,0,commercial_rent,8546,0.0
has_amenity_ba,0,commercial_rent,8546,0.0
has_amenity_st,0,commercial_rent,8546,0.0
has_amenity_wc,0,commercial_rent,8546,0.0
amenities_count,0,commercial_rent,8546,0.0
geo_validation_status,0,commercial_rent,8546,0.0
h3_res8,47,commercial_rent,8546,0.5499648958577112
h3_res9,47,commercial_rent,8546,0.5499648958577112
compound_name,0,commercial_rent,8546,0.0
compound_match_confidence,0,commercial_rent,8546,0.0
is_known_compound,0,commercial_rent,8546,0.0
compound_frequency,0,commercial_rent,8546,0.0
deterministic_price,8546,commercial_rent,8546,100.0
comparable_count,8546,commercial_rent,8546,100.0
confidence_score,8546,commercial_rent,8546,100.0
tier_reached,8546,commercial_rent,8546,100.0
retrieval_radius,8546,commercial_rent,8546,100.0
median_price_per_sqm,8546,commercial_rent,8546,100.0
weighted_price_per_sqm,8546,commercial_rent,8546,100.0
comparable_price_std,8546,commercial_rent,8546,100.0
comparable_price_iqr,8546,commercial_rent,8546,100.0
median_comparable_age_days,8546,commercial_rent,8546,100.0
id,0,commercial_sale,6691,0.0
title,0,commercial_sale,6691,0.0
price,0,commercial_sale,6691,0.0
currency,0,commercial_sale,6691,0.0
price_period,0,commercial_sale,6691,0.0
price_type,0,commercial_sale,6691,0.0
price_raw_value,0,commercial_sale,6691,0.0
property_type,0,commercial_sale,6691,0.0
location,0,commercial_sale,6691,0.0
latitude,21,commercial_sale,6691,0.3138544313256613
longitude,21,commercial_sale,6691,0.3138544313256613
share_url,0,commercial_sale,6691,0.0
bedrooms,3560,commercial_sale,6691,53.20579883425497
bathrooms,1109,commercial_sale,6691,16.574503063817065
size,0,commercial_sale,6691,0.0
category,0,commercial_sale,6691,0.0
page,0,commercial_sale,6691,0.0
scraped_at_utc,0,commercial_sale,6691,0.0
record_type,0,commercial_sale,6691,0.0
target_log_price,0,commercial_sale,6691,0.0
is_furnished,0,commercial_sale,6691,0.0
has_garden,0,commercial_sale,6691,0.0
sea_view,0,commercial_sale,6691,0.0
pool_view,0,commercial_sale,6691,0.0
corner_unit,0,commercial_sale,6691,0.0
fully_finished,0,commercial_sale,6691,0.0
