text_feature,count,dataset
is_furnished,3168,residential_rent
has_garden,699,residential_rent
sea_view,21,residential_rent
pool_view,442,residential_rent
corner_unit,61,residential_rent
fully_finished,219,residential_rent
core_shell,0,residential_rent
semi_furnished,281,residential_rent
hotel_apartment,177,residential_rent
luxury,606,residential_rent
prime_location,333,residential_rent
is_duplex,430,residential_rent
is_penthouse,374,residential_rent
is_ground_floor,229,residential_rent
is_clinic,0,residential_rent
is_office,6,residential_rent
is_shop,1,residential_rent
is_admin,12,residential_rent
has_nanny_room,41,residential_rent
has_driver_room,1,residential_rent
has_private_entrance,9,residential_rent
is_furnished,342,residential_sale
has_garden,1099,residential_sale
sea_view,660,residential_sale
pool_view,418,residential_sale
corner_unit,393,residential_sale
fully_finished,1515,residential_sale
core_shell,5,residential_sale
semi_furnished,12,residential_sale
hotel_apartment,55,residential_sale
luxury,511,residential_sale
prime_location,1215,residential_sale
is_duplex,453,residential_sale
is_penthouse,463,residential_sale
is_ground_floor,139,residential_sale
is_clinic,1,residential_sale
is_office,7,residential_sale
is_shop,2,residential_sale
is_admin,4,residential_sale
has_nanny_room,15,residential_sale
has_driver_room,2,residential_sale
has_private_entrance,8,residential_sale
is_furnished,430,commercial_rent
has_garden,75,commercial_rent
sea_view,0,commercial_rent
pool_view,3,commercial_rent
corner_unit,84,commercial_rent
fully_finished,1223,commercial_rent
core_shell,7,commercial_rent
semi_furnished,3,commercial_rent
hotel_apartment,1,commercial_rent
luxury,118,commercial_rent
prime_location,652,commercial_rent
is_duplex,71,commercial_rent
is_penthouse,0,commercial_rent
is_ground_floor,149,commercial_rent
is_clinic,457,commercial_rent
is_office,5079,commercial_rent
is_shop,766,commercial_rent
is_admin,699,commercial_rent
has_nanny_room,0,commercial_rent
has_driver_room,0,commercial_rent
has_private_entrance,98,commercial_rent
is_furnished,52,commercial_sale
has_garden,19,commercial_sale
sea_view,3,commercial_sale
pool_view,4,commercial_sale
corner_unit,73,commercial_sale
fully_finished,393,commercial_sale
core_shell,16,commercial_sale
semi_furnished,0,commercial_sale
hotel_apartment,12,commercial_sale
luxury,52,commercial_sale
prime_location,375,commercial_sale
is_duplex,25,commercial_sale
is_penthouse,0,commercial_sale
is_ground_floor,96,commercial_sale
is_clinic,683,commercial_sale
is_office,2559,commercial_sale
is_shop,1563,commercial_sale
is_admin,285,commercial_sale
has_nanny_room,0,commercial_sale
has_driver_room,0,commercial_sale
has_private_entrance,27,commercial_sale
