feature_name,source,datatype,nullable,description,category
id,raw,object,False,Feature id from raw,raw
title,raw,object,False,Feature title from raw,raw
price,raw,float64,False,Feature price from raw,raw
currency,raw,object,False,Feature currency from raw,raw
price_period,raw,object,False,Feature price_period from raw,raw
price_type,raw,object,False,Feature price_type from raw,raw
price_raw_value,raw,float64,False,Feature price_raw_value from raw,raw
property_type,raw,object,False,Feature property_type from raw,raw
location,raw,object,False,Feature location from raw,raw
latitude,geo,float64,False,Feature latitude from geo,geo
longitude,geo,float64,False,Feature longitude from geo,geo
share_url,raw,object,False,Feature share_url from raw,raw
bedrooms,raw,float64,True,Feature bedrooms from raw,raw
bathrooms,raw,int64,False,Feature bathrooms from raw,raw
size,raw,float64,False,Feature size from raw,raw
category,raw,object,False,Feature category from raw,raw
page,raw,int64,False,Feature page from raw,raw
scraped_at_utc,raw,object,False,Feature scraped_at_utc from raw,raw
record_type,raw,object,False,Feature record_type from raw,raw
target_log_price,derived,float64,False,Feature target_log_price from derived,derived
is_furnished,text,int64,False,Feature is_furnished from text,text
has_garden,text,int64,False,Feature has_garden from text,text
sea_view,text,int64,False,Feature sea_view from text,text
pool_view,text,int64,False,Feature pool_view from text,text
corner_unit,text,int64,False,Feature corner_unit from text,text
fully_finished,text,int64,False,Feature fully_finished from text,text
core_shell,text,int64,False,Feature core_shell from text,text
semi_furnished,text,int64,False,Feature semi_furnished from text,text
hotel_apartment,text,int64,False,Feature hotel_apartment from text,text
luxury,text,int64,False,Feature luxury from text,text
prime_location,text,int64,False,Feature prime_location from text,text
is_duplex,text,int64,False,Feature is_duplex from text,text
is_penthouse,text,int64,False,Feature is_penthouse from text,text
is_ground_floor,text,int64,False,Feature is_ground_floor from text,text
is_clinic,text,int64,False,Feature is_clinic from text,text
is_office,text,int64,False,Feature is_office from text,text
is_shop,text,int64,False,Feature is_shop from text,text
is_admin,text,int64,False,Feature is_admin from text,text
has_nanny_room,text,int64,False,Feature has_nanny_room from text,text
has_driver_room,text,int64,False,Feature has_driver_room from text,text
has_private_entrance,text,int64,False,Feature has_private_entrance from text,text
has_amenity_ba,amenity,int64,False,Feature has_amenity_ba from amenity,amenity
has_amenity_se,amenity,int64,False,Feature has_amenity_se from amenity,amenity
has_amenity_ac,amenity,int64,False,Feature has_amenity_ac from amenity,amenity
has_amenity_bk,amenity,int64,False,Feature has_amenity_bk from amenity,amenity
has_amenity_cp,amenity,int64,False,Feature has_amenity_cp from amenity,amenity
has_amenity_bw,amenity,int64,False,Feature has_amenity_bw from amenity,amenity
has_amenity_lb,amenity,int64,False,Feature has_amenity_lb from amenity,amenity
has_amenity_bl,amenity,int64,False,Feature has_amenity_bl from amenity,amenity
has_amenity_sy,amenity,int64,False,Feature has_amenity_sy from amenity,amenity
has_amenity_wc,amenity,int64,False,Feature has_amenity_wc from amenity,amenity
has_amenity_ss,amenity,int64,False,Feature has_amenity_ss from amenity,amenity
has_amenity_sp,amenity,int64,False,Feature has_amenity_sp from amenity,amenity
has_amenity_st,amenity,int64,False,Feature has_amenity_st from amenity,amenity
has_amenity_pg,amenity,int64,False,Feature has_amenity_pg from amenity,amenity
has_amenity_mr,amenity,int64,False,Feature has_amenity_mr from amenity,amenity
has_amenity_co,amenity,int64,False,Feature has_amenity_co from amenity,amenity
has_amenity_vw,amenity,int64,False,Feature has_amenity_vw from amenity,amenity
has_amenity_pp,amenity,int64,False,Feature has_amenity_pp from amenity,amenity
amenities_count,amenity,int64,False,Feature amenities_count from amenity,amenity
geo_validation_status,geo,object,False,Feature geo_validation_status from geo,geo
h3_res8,geo,object,True,Feature h3_res8 from geo,geo
h3_res9,geo,object,True,Feature h3_res9 from geo,geo
compound_name,compound,object,False,Feature compound_name from compound,compound
compound_match_confidence,compound,float64,False,Feature compound_match_confidence from compound,compound
is_known_compound,compound,int64,False,Feature is_known_compound from compound,compound
compound_frequency,compound,int64,False,Feature compound_frequency from compound,compound
deterministic_price,deterministic,float64,True,Feature deterministic_price from deterministic,deterministic
comparable_count,deterministic,float64,True,Feature comparable_count from deterministic,deterministic
confidence_score,deterministic,float64,True,Feature confidence_score from deterministic,deterministic
tier_reached,deterministic,float64,True,Feature tier_reached from deterministic,deterministic
retrieval_radius,deterministic,float64,True,Feature retrieval_radius from deterministic,deterministic
median_price_per_sqm,deterministic,float64,True,Feature median_price_per_sqm from deterministic,deterministic
weighted_price_per_sqm,deterministic,float64,True,Feature weighted_price_per_sqm from deterministic,deterministic
comparable_price_std,deterministic,float64,True,Feature comparable_price_std from deterministic,deterministic
comparable_price_iqr,deterministic,float64,True,Feature comparable_price_iqr from deterministic,deterministic
median_comparable_age_days,deterministic,float64,True,Feature median_comparable_age_days from deterministic,deterministic
