iter	RMSE
0	1.033281747
1	1.004624819
2	0.9767386897
3	0.9517799238
4	0.9267879192
5	0.9037911121
6	0.8822901126
7	0.8629299382
8	0.8441965722
9	0.82555273
10	0.8081305099
11	0.7918135902
12	0.7769443641
13	0.7621268794
14	0.7487610523
15	0.737025927
16	0.7265341662
17	0.7153723263
18	0.7060388884
19	0.6965568248
20	0.6870935877
21	0.6781988286
22	0.6700935903
23	0.6615420628
24	0.6544757619
25	0.6484310797
26	0.6417552373
27	0.6358178947
28	0.6294108848
29	0.6244949039
30	0.6202691839
31	0.6143594057
32	0.6082505415
33	0.6030084944
34	0.5982686184
35	0.5937450601
36	0.5897368875
37	0.5858468604
38	0.5818645359
39	0.5784145919
40	0.575093581
41	0.5712402176
42	0.5680813129
43	0.5655758886
44	0.5627062549
45	0.5600842018
46	0.5576137906
47	0.5552589465
48	0.5532749787
49	0.5514354104
50	0.5492313874
51	0.5475523098
52	0.5457979517
53	0.5436403063
54	0.5416871603
55	0.5403736607
56	0.5388812543
57	0.5374233584
58	0.5359701211
59	0.5343686251
60	0.5332283873
61	0.5318894549
62	0.530444724
63	0.5292894155
64	0.5279657322
65	0.5268834461
66	0.5260090535
67	0.5248950131
68	0.5240894343
69	0.5230557985
70	0.5220982091
71	0.5212261796
72	0.5202361799
73	0.5195089418
74	0.5184203585
75	0.5176426132
76	0.5165891501
77	0.5159939008
78	0.5148024665
79	0.5142111257
80	0.5134127303
81	0.5128261317
82	0.5122680996
83	0.5113533854
84	0.5099984971
85	0.5090280272
86	0.5083668122
87	0.5074387846
88	0.5067384727
89	0.5058571434
90	0.5049991526
91	0.5043797719
92	0.5035586679
93	0.5030383762
94	0.5024752765
95	0.5015639655
96	0.5008042889
97	0.5001640987
98	0.4996721708
99	0.4989161544
100	0.4978710534
101	0.4971385404
102	0.4965428239
103	0.4960129445
104	0.4954308431
105	0.4949448987
106	0.4942321548
107	0.4936020684
108	0.4929486137
109	0.492463116
110	0.4917613603
111	0.4912384046
112	0.4908028585
113	0.490497442
114	0.4899209534
115	0.4892820767
116	0.4886656714
117	0.4881828067
118	0.4875842514
119	0.4872981402
120	0.486966481
121	0.4857672396
122	0.4850943618
123	0.484781148
124	0.4838339304
125	0.4835686424
126	0.4830406114
127	0.4828324191
128	0.4822973347
129	0.4816143981
130	0.4809803309
131	0.4807563847
132	0.4802833546
133	0.4799417946
134	0.4794710277
135	0.4790432198
136	0.4783165434
137	0.4776793311
138	0.4773011602
139	0.476554401
140	0.4759563472
141	0.4754577425
142	0.4750743861
143	0.4741762978
144	0.4737784368
145	0.4734039467
146	0.4728740714
147	0.4724062521
148	0.4717145873
149	0.4712334121
150	0.470954297
151	0.4704528734
152	0.4698148669
153	0.4690633138
154	0.4689897183
155	0.4684541174
156	0.4680386283
157	0.4675684509
158	0.466728698
159	0.4661886318
160	0.4659165588
161	0.4654453381
162	0.4650863014
163	0.4647137085
164	0.4640988372
165	0.4637911831
166	0.463428181
167	0.4632218845
168	0.4624463472
169	0.4620207205
170	0.4614909412
171	0.4611604571
172	0.460885227
173	0.4599858073
174	0.4595538459
175	0.4594057292
176	0.4585072504
177	0.4583392945
178	0.4580073059
179	0.4578986433
180	0.4578435784
181	0.4573116893
182	0.4567415635
183	0.4566619196
184	0.456272852
185	0.4556029293
186	0.4551725235
187	0.4547570384
188	0.4546997904
189	0.4542892299
190	0.4540699965
191	0.4536956852
192	0.4532905857
193	0.4528557337
194	0.4522433476
195	0.4517395203
196	0.451204299
197	0.4508181788
198	0.4505390104
199	0.4500801028
200	0.4499071009
201	0.4496602699
202	0.4491869656
203	0.4488081062
204	0.4482145825
205	0.4481449461
206	0.447298313
207	0.4469498072
208	0.4466355057
209	0.4461642035
210	0.4457269196
211	0.445209873
212	0.4447894979
213	0.4444797366
214	0.4442138809
215	0.4438615265
216	0.4438106795
217	0.4433365296
218	0.4430156917
219	0.4425816741
220	0.4420496484
221	0.4417267394
222	0.441021207
223	0.4405098582
224	0.4398391843
225	0.4396014516
226	0.4392834909
227	0.4386322802
228	0.4383831989
229	0.4379753495
230	0.4378575936
231	0.4373076974
232	0.4369363224
233	0.4363948901
234	0.4362330881
235	0.4358815924
236	0.4356398715
237	0.435513343
238	0.4351555536
239	0.4349246335
240	0.4341301389
241	0.4339375734
242	0.4338928147
243	0.4336863791
244	0.4333035339
245	0.4330755756
246	0.4325942423
247	0.4323082821
248	0.4316607022
249	0.4313716646
250	0.4309841711
251	0.4306922792
252	0.4298873976
253	0.4297725376
254	0.4293776864
255	0.4289291696
256	0.4287383472
257	0.4284568997
258	0.428057201
259	0.4275589416
260	0.4274383977
261	0.427030847
262	0.4266955237
263	0.4264979649
264	0.4262045206
265	0.4259542999
266	0.4252613354
267	0.4250243928
268	0.4246238156
269	0.4243602472
270	0.4243261043
271	0.4239705953
272	0.4237727501
273	0.4235269516
274	0.4232742448
275	0.4227696947
276	0.4223401689
277	0.4220896391
278	0.42165981
279	0.421402271
280	0.4210993652
281	0.4207432746
282	0.420042124
283	0.4197713282
284	0.419449573
285	0.4191893221
286	0.4186756723
287	0.418457828
288	0.4180360612
289	0.4177597632
290	0.4174502904
291	0.4171065536
292	0.4168008156
293	0.4167371261
294	0.4164164013
295	0.4159570152
296	0.4158966547
297	0.4156194113
298	0.4155874574
299	0.4152798779
300	0.4148567572
301	0.4144143506
302	0.4141932835
303	0.4139411424
304	0.4137319013
305	0.4132955782
306	0.413032756
307	0.4127382655
308	0.4123336206
309	0.4121707305
310	0.4116055445
311	0.411339715
312	0.4110845659
313	0.4106193442
314	0.4105371212
315	0.4102468535
316	0.4097246925
317	0.409467846
318	0.4090718131
319	0.4086220127
320	0.4083431995
321	0.4080494963
322	0.4077132422
323	0.4075301295
324	0.4072569073
325	0.4068973704
326	0.4068319544
327	0.4063383262
328	0.4059942472
329	0.4059690721
330	0.4059376645
331	0.4057686823
332	0.4056164304
333	0.4054015577
334	0.4052397184
335	0.4050886528
336	0.404857208
337	0.4046372068
338	0.4044169205
339	0.4038148614
340	0.403599006
341	0.4032944801
342	0.4030193542
343	0.4027363869
344	0.4023147709
345	0.4021849386
346	0.4019564654
347	0.4017931511
348	0.4016004254
349	0.4011947369
350	0.4010016955
351	0.4007803313
352	0.4005334925
353	0.4004384566
354	0.4002901486
355	0.4000676464
356	0.3996141465
357	0.399416712
358	0.3989720926
359	0.3988628668
360	0.3985743848
361	0.3984034672
362	0.3980206102
363	0.397919155
364	0.3974547029
365	0.3971956665
366	0.3967346986
367	0.3965946054
368	0.3964089002
369	0.3961552185
370	0.3956536966
371	0.3954279405
372	0.3949581588
373	0.3945975258
374	0.3942772699
375	0.3941889201
376	0.3939186288
377	0.3938917882
378	0.3935539089
379	0.3932607655
380	0.3930150036
381	0.3927897829
382	0.3923677122
383	0.3920454066
384	0.3919299241
385	0.3915860788
386	0.3913528249
387	0.3913072559
388	0.3910421278
389	0.3908124111
390	0.3905200296
391	0.3903204719
392	0.3899392937
393	0.389626929
394	0.3894240423
395	0.3890572412
396	0.3887702712
397	0.388488834
398	0.3882059425
399	0.3880403125
400	0.387788648
401	0.3874181332
402	0.3869646848
403	0.3867669499
404	0.3865309265
405	0.3862974999
406	0.3859090541
407	0.3855266372
408	0.3852779422
409	0.3848874429
410	0.3847600694
411	0.3845896287
412	0.3843414248
413	0.3841251921
414	0.3838796525
415	0.383596096
416	0.3834396309
417	0.3832062789
418	0.3830421275
419	0.3828238696
420	0.3826011261
421	0.382373926
422	0.3822613201
423	0.3821269501
424	0.3820017142
425	0.3818555274
426	0.3816993242
427	0.3814887859
428	0.3812886743
429	0.380996982
430	0.3807431896
431	0.3806721444
432	0.3805714799
433	0.3802332331
434	0.3799360125
435	0.3798171623
436	0.3795106778
437	0.3792208266
438	0.3790466012
439	0.3789026179
440	0.3786609362
441	0.3784346304
442	0.3782265941
443	0.3780579922
444	0.377862696
445	0.3776482456
446	0.3773542453
447	0.3773257415
448	0.377305248
449	0.3769736761
450	0.3767469606
451	0.3766114878
452	0.3764377758
453	0.3762354173
454	0.3760855898
455	0.375930726
456	0.3758977989
457	0.3757016205
458	0.3755386415
459	0.375102743
460	0.3748634962
461	0.3746195454
462	0.3744361202
463	0.3742193949
464	0.3740134017
465	0.373969061
466	0.3737666066
467	0.373477448
468	0.3731677171
469	0.3731318812
470	0.3728729916
471	0.3727386775
472	0.3724316058
473	0.372280324
474	0.3721432637
475	0.3718627334
476	0.3717360214
477	0.3716328668
478	0.3715342409
479	0.3713033739
480	0.3712858408
481	0.3711270429
482	0.3709186055
483	0.3707093069
484	0.3705285464
485	0.3703806645
486	0.3701014951
487	0.3699265669
488	0.3696724071
489	0.3695619037
490	0.3692814757
491	0.3690196582
492	0.368719997
493	0.3685025481
494	0.3683747346
495	0.3680931287
