id,title,price,currency,price_period,price_type,price_raw_value,property_type,location,latitude,longitude,images,share_url,bedrooms,bathrooms,size,amenities,category,page,scraped_at_utc,record_type
52713975,Prime Rented Retail Unit for Sale in Mirage Mall –,7750000.0,EGP,sell,sale_price,7750000,Retail,"Mirage City, The 1st Settlement, New Cairo City, Cairo",30.0755672454834,31.43722915649414,"['https://static.shared.propertyfinder.eg/media/images/listing/B5CDPEDDZC63DGG2SXD3ES1V08/765a6a16-06d2-4187-9926-8b0d957ad600/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/B5CDPEDDZC63DGG2SXD3ES1V08/765a6a16-06d2-4187-9926-8b0d957ad600/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/retail-for-sale-cairo-new-cairo-city-the-1st-settlement-mirage-city-2PWMEpuGxCC.html,,1.0,45,"['AN', 'CP', 'DN', 'CR', 'LB']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
52187998,Clinic for Sale 101 m Wellcare Compound New Cairo,10500000.0,EGP,sell,sale_price,10500000,Clinic,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.073101043701172,31.539127349853516,"['https://static.shared.propertyfinder.eg/media/images/listing/7JMNKRG49C28ST4ZKJPHR72ZJC/bf9b1d82-edf8-4adc-b883-e23c9472b049/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/7JMNKRG49C28ST4ZKJPHR72ZJC/bf9b1d82-edf8-4adc-b883-e23c9472b049/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/clinic-for-sale-cairo-new-cairo-city-the-5th-settlement-north-teseen-st-v90-2PT1a6tHZ7Q.html,2.0,1.0,101,"['AN', 'CP', 'LB']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
51161402,Office 31m for Sale in Granoui North 90th Street,5500000.0,EGP,sell,sale_price,5500000,Office Space,"Granoy, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.02072525024414,31.430124282836914,"['https://static.shared.propertyfinder.eg/media/images/listing/Z9QGHW1283JA7YD64F29RXMBS0/053c52aa-7fb3-4065-a658-4411773639eb/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/Z9QGHW1283JA7YD64F29RXMBS0/053c52aa-7fb3-4065-a658-4411773639eb/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/office-space-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-granoy-2PMLQ1HglqC.html,1.0,,31,"['AN', 'CP', 'LB']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
52720686,Office 49m RESALE on Mostafa Kamel Axis Deliv June,3200000.0,EGP,sell,sale_price,3200000,Office Space,"One Plaza Mall, The 1st Settlement, New Cairo City, Cairo",30.06371307373047,31.447431564331055,"['https://static.shared.propertyfinder.eg/media/images/listing/9X3YRXAWDCFZ0N1KW5M5AKSGFG/dd69386d-12be-49d9-8616-ce74f583ed38/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/9X3YRXAWDCFZ0N1KW5M5AKSGFG/dd69386d-12be-49d9-8616-ce74f583ed38/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/office-space-for-sale-cairo-new-cairo-city-the-1st-settlement-one-plaza-mall-2PWYNoczlgW.html,,,4,"['AN', 'CP', 'CR', 'LB']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
52720484,Retail Unit for Sale in Lakeyard | Ready to Move,20000000.0,EGP,sell,sale_price,20000000,Retail,"Lake Yard, Northern Expansions, 6 October City, Giza",29.988744735717773,30.931312561035156,"['https://static.shared.propertyfinder.eg/media/images/listing/KPR0P5WQ1JKNN9X92XPG25P3GW/f85362c3-8ff7-42e9-bd08-763e84da46cf/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/KPR0P5WQ1JKNN9X92XPG25P3GW/f85362c3-8ff7-42e9-bd08-763e84da46cf/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/retail-for-sale-giza-6-october-city-northern-expansions-lake-yard-2PWXu2ZJLSC.html,,1.0,87,"['AN', 'DN']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
8393279,Office space in SWAN LAKE commercial complex!!!,23000000.0,EGP,sell,sale_price,23000000,Office Space,"Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.073923110961914,31.465532302856445,"['https://static.shared.propertyfinder.eg/media/images/listing/01KBWKBVHF4XBGZJ40E2SMJ0X5/2269801f-73e2-4cec-84e0-474d366bc4e8/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/01KBWKBVHF4XBGZJ40E2SMJ0X5/2269801f-73e2-4cec-84e0-474d366bc4e8/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/office-space-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-swan-lake-residence-8393279.html,4.0,2.0,137,"['AN', 'SY', 'CP', 'DN', 'CR', 'LB']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
8623697,retail for sale 237m in East Side New Cairo,63300000.0,EGP,sell,sale_price,63300000,Retail,"Eastside New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.08203887939453,31.47706413269043,"['https://static.shared.propertyfinder.eg/media/images/listing/QZHWZVRSCD3KDCQWN6CDPQ6FW4/30818b88-bc8b-4760-9777-70fa00e85774/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/QZHWZVRSCD3KDCQWN6CDPQ6FW4/30818b88-bc8b-4760-9777-70fa00e85774/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/retail-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastside-new-cairo-8623697.html,,,237,"['AN', 'CP', 'DN', 'CR', 'LB']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
8601558,Medical Clinic Direct on South 90,7697280.0,EGP,sell,sale_price,7697280,Clinic,"Hyde Park Business District Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",29.973722457885742,31.54414176940918,"['https://static.shared.propertyfinder.eg/media/images/listing/0NMAQPSQMRSE213W64KRQMKK1W/abbc362d-4864-44fb-bed7-0b8c4073341a/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/0NMAQPSQMRSE213W64KRQMKK1W/abbc362d-4864-44fb-bed7-0b8c4073341a/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/clinic-for-sale-cairo-new-cairo-city-the-5th-settlement-south-teseen-st-8601558.html,,,48,"['AN', 'CP', 'DN', 'CR', 'LB']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
8623698,Administrative office for sale in Eastside,16000000.0,EGP,sell,sale_price,16000000,Office Space,"Eastside New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.08203887939453,31.47706413269043,"['https://static.shared.propertyfinder.eg/media/images/listing/XPFZG6N8YFCWR5GKV02SR3DMPM/eeef13d0-4b0a-46f0-88b4-9aeefaf4589d/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/XPFZG6N8YFCWR5GKV02SR3DMPM/eeef13d0-4b0a-46f0-88b4-9aeefaf4589d/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/office-space-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastside-new-cairo-8623698.html,,,107,"['AN', 'CP', 'DN', 'CR', 'LB']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
8678419,ONLY PHARMACY FOR SALE NEXT TO MALL OF EGYPT,4500000.0,EGP,sell,sale_price,4500000,Medical Facility,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",30.00690460205078,31.05933380126953,"['https://static.shared.propertyfinder.eg/media/images/listing/7R36Q4RREEXEM2RRGG9CJCEH6M/e44a41fe-f525-4421-b512-477d11c940ba/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/7R36Q4RREEXEM2RRGG9CJCEH6M/e44a41fe-f525-4421-b512-477d11c940ba/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-buy/medical-facility-for-sale-giza-6-october-city-cairo-alexandria-desert-road-new-giza-8678419.html,,1.0,58,"['AN', 'CP', 'SY', 'DN', 'CR', 'LB']",commercial_buy,1,2026-02-19T17:59:24.617839+00:00,property
