id,title,price,currency,price_period,price_type,price_raw_value,property_type,location,latitude,longitude,images,share_url,bedrooms,bathrooms,size,amenities,category,page,scraped_at_utc,record_type
52973173,"shop rent in Fifth Settlement, Gamal Abdel Nasser",75000,EGP,monthly,rent_price,75000,Shop,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",29.97930145263672,31.437660217285156,"['https://static.shared.propertyfinder.eg/media/images/listing/R37TD2629QN5SVMHXJWMQV5X4R/947f1b8d-8263-41ac-bb10-1f25bf3356d4/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/R37TD2629QN5SVMHXJWMQV5X4R/947f1b8d-8263-41ac-bb10-1f25bf3356d4/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/shop-for-rent-cairo-new-cairo-city-the-3rd-settlement-gamal-abdel-nasser-axis-2PYAKI4hQnI.html,,1.0,52,"['AN', 'CP', 'DN', 'LB']",commercial_rent,1,2026-02-19T17:23:59.043047+00:00,property
52971363,Office 73 sqm for rent in Smart village,50000,EGP,monthly,rent_price,50000,Office Space,"Smart Village, Cairo Alexandria Desert Road, 6 October City, Giza",30.07316017150879,31.017873764038086,"['https://static.shared.propertyfinder.eg/media/images/listing/6ESB9079S857YWV9FXPA4NSGC0/41b1ab48-bbd9-4e7b-af9b-cd5d7014146f/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/6ESB9079S857YWV9FXPA4NSGC0/41b1ab48-bbd9-4e7b-af9b-cd5d7014146f/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/office-space-for-rent-giza-6-october-city-cairo-alexandria-desert-road-smart-village-2PY3Xd1AVBw.html,2.0,1.0,73,"['AN', 'CP', 'DN', 'CR', 'LB']",commercial_rent,1,2026-02-19T17:23:59.043047+00:00,property
52724873,For Rent – 53 sqm Office in Business Plus –,45000,EGP,monthly,rent_price,45000,Office Space,"Business Plus, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.028099060058594,31.49541473388672,"['https://static.shared.propertyfinder.eg/media/images/listing/7VF3F3M0B0TFKQCDD64WJG8KRC/ff1c74e5-ff01-4ae7-80d3-1796c2d42ecf/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/7VF3F3M0B0TFKQCDD64WJG8KRC/ff1c74e5-ff01-4ae7-80d3-1796c2d42ecf/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/office-space-for-rent-cairo-new-cairo-city-the-5th-settlement-north-teseen-st-business-plus-2PWhtIus5s8.html,1.0,,53,"['AN', 'CP', 'CR', 'LB', 'DN']",commercial_rent,1,2026-02-19T17:23:59.043047+00:00,property
52709462,For Rent – Premium Office Space in U-Venues,364032,EGP,monthly,rent_price,364032,Office Space,"UVenues, The 1st Settlement, New Cairo City, Cairo",30.007692337036133,31.403738021850586,"['https://static.shared.propertyfinder.eg/media/images/listing/MXS03W2B98GRJ78KQ3MCAFDDAM/f6073d75-8f9a-4ee0-bcd1-bc1a4129010c/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/MXS03W2B98GRJ78KQ3MCAFDDAM/f6073d75-8f9a-4ee0-bcd1-bc1a4129010c/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/office-space-for-rent-cairo-new-cairo-city-the-1st-settlement-uvenues-2PWCfNdq1aK.html,1.0,1.0,158,"['AN', 'CP', 'DN', 'CR', 'LB']",commercial_rent,1,2026-02-19T17:23:59.043047+00:00,property
52724801,Luxury Fully Furnished Office for Rent – North 90,780000,EGP,monthly,rent_price,780000,Half Floor,"N 90 BUSINESS COMPLEX, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.028278350830078,31.48352813720703,"['https://static.shared.propertyfinder.eg/media/images/listing/4V4E0XTBZVYTN8QS8476KRBNT8/5e0b09f4-75da-44c4-a0f5-8fb33a0a0bb6/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/4V4E0XTBZVYTN8QS8476KRBNT8/5e0b09f4-75da-44c4-a0f5-8fb33a0a0bb6/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/half-floor-for-rent-cairo-new-cairo-city-the-5th-settlement-north-teseen-st-n-90-business-complex-2PWhY9D425o.html,,3.0,600,"['AN', 'DN', 'CR']",commercial_rent,1,2026-02-19T17:23:59.043047+00:00,property
8719758,"Office/Clinic FullyFinished at LakeTown 1,150/m",72450,EGP,monthly,rent_price,72450,Office Space,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.026145935058594,31.53697395324707,"['https://static.shared.propertyfinder.eg/media/images/listing/TD9KAN1WBN54EGB9VRJCATGT50/10946d32-d1f6-470d-b25d-347e448173bb/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/TD9KAN1WBN54EGB9VRJCATGT50/10946d32-d1f6-470d-b25d-347e448173bb/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/office-space-for-rent-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-8719758.html,1.0,1.0,63,"['AN', 'CP', 'LB']",commercial_rent,1,2026-02-19T17:23:59.043047+00:00,property
52191268,"Office for rent in Arkan Plaza, Sheikh Zayed, prim",150000,EGP,monthly,rent_price,150000,Office Space,"Arkan Plaza, 26th of July Corridor, Sheikh Zayed City, Giza",30.025272369384766,30.994361877441406,"['https://static.shared.propertyfinder.eg/media/images/listing/F6PAX7BDFANPM4QV5AYWRPFE68/371b7a6f-0b8a-4066-aa53-60e85eb69d17/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/F6PAX7BDFANPM4QV5AYWRPFE68/371b7a6f-0b8a-4066-aa53-60e85eb69d17/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/office-space-for-rent-giza-sheikh-zayed-city-26th-of-july-corridor-arkan-plaza-2PT9YRQY5yq.html,3.0,2.0,95,"['AN', 'CP', 'LB', 'CR']",commercial_rent,1,2026-02-19T17:23:59.043047+00:00,property
52723744,Administrative Space For Rent In New Cairo.,325000,EGP,monthly,rent_price,325000,Office Space,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.073101043701172,31.539127349853516,"['https://static.shared.propertyfinder.eg/media/images/listing/7Y1ZKH77EA0ZWQ2YRNFY0XJ8CG/b4889e56-67b3-44b8-baac-0725d2ab97b8/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/7Y1ZKH77EA0ZWQ2YRNFY0XJ8CG/b4889e56-67b3-44b8-baac-0725d2ab97b8/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/office-space-for-rent-cairo-new-cairo-city-the-5th-settlement-north-teseen-st-v90-2PWdRIjlgGW.html,,2.0,250,"['AN', 'CR']",commercial_rent,1,2026-02-19T17:23:59.043047+00:00,property
52723787,Administrative Building For Rent In Maadi Cornish.,1500000,EGP,monthly,rent_price,1500000,Whole Building,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",29.949356079101562,31.263818740844727,"['https://static.shared.propertyfinder.eg/media/images/listing/FX61YKNK4ZE5CHGHSR847E912M/3785edd1-5a27-4348-8f8c-a07525276cf9/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/FX61YKNK4ZE5CHGHSR847E912M/3785edd1-5a27-4348-8f8c-a07525276cf9/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/whole-building-for-rent-cairo-hay-el-maadi-maadi-cornish-el-nile-st-2PWda66JKXg.html,,5.0,2700,"['AN', 'CR']",commercial_rent,1,2026-02-19T17:23:59.043047+00:00,property
52722309,Prime Located Office in Smart Village with Ac’s,479000,EGP,monthly,rent_price,479000,Office Space,"Smart Village, Cairo Alexandria Desert Road, 6 October City, Giza",30.07316017150879,31.017873764038086,"['https://static.shared.propertyfinder.eg/media/images/listing/RQ93MBMHMJH3FJYE1CFTWKNEYG/b7dfa3ac-04be-4685-9f20-df8a3052b326/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/RQ93MBMHMJH3FJYE1CFTWKNEYG/b7dfa3ac-04be-4685-9f20-df8a3052b326/668x452.jpg']",https://www.propertyfinder.eg/en/plp/commercial-rent/office-space-for-rent-giza-6-october-city-cairo-alexandria-desert-road-smart-village-2PWbUNZWCxs.html,7.0,,400,"['AN', 'CP', 'DN', 'CR', 'LB']",commercial_rent,1,2026-02-19T17:23:59.044046+00:00,property
