amenity,count,dataset
has_amenity_ba,18526,residential_rent
has_amenity_se,17652,residential_rent
has_amenity_ac,13726,residential_rent
has_amenity_bk,13274,residential_rent
has_amenity_cp,12009,residential_rent
has_amenity_bw,11205,residential_rent
has_amenity_lb,9940,residential_rent
has_amenity_bl,9895,residential_rent
has_amenity_sy,9085,residential_rent
has_amenity_wc,7751,residential_rent
has_amenity_ss,7111,residential_rent
has_amenity_sp,7070,residential_rent
has_amenity_st,6185,residential_rent
has_amenity_pg,5644,residential_rent
has_amenity_mr,5482,residential_rent
has_amenity_co,5181,residential_rent
has_amenity_vw,4877,residential_rent
has_amenity_pp,2444,residential_rent
has_amenity_ba,18806,residential_sale
has_amenity_se,17786,residential_sale
has_amenity_sy,13434,residential_sale
has_amenity_cp,12933,residential_sale
has_amenity_bl,12356,residential_sale
has_amenity_sp,12321,residential_sale
has_amenity_ss,12222,residential_sale
has_amenity_lb,11033,residential_sale
has_amenity_wc,10488,residential_sale
has_amenity_vw,10484,residential_sale
has_amenity_co,10456,residential_sale
has_amenity_st,9979,residential_sale
has_amenity_pg,9821,residential_sale
has_amenity_bw,9310,residential_sale
has_amenity_mr,8664,residential_sale
has_amenity_ac,8414,residential_sale
has_amenity_bk,7579,residential_sale
has_amenity_pp,6285,residential_sale
has_amenity_an,11106,commercial_rent
has_amenity_cp,8984,commercial_rent
has_amenity_lb,8857,commercial_rent
has_amenity_cr,8693,commercial_rent
has_amenity_dn,5654,commercial_rent
has_amenity_sy,3481,commercial_rent
has_amenity_se,6,commercial_rent
has_amenity_ba,5,commercial_rent
has_amenity_bl,4,commercial_rent
has_amenity_st,2,commercial_rent
has_amenity_wc,2,commercial_rent
has_amenity_bw,2,commercial_rent
has_amenity_pg,1,commercial_rent
has_amenity_pn,1,commercial_rent
has_amenity_an,7209,commercial_sale
has_amenity_lb,6480,commercial_sale
has_amenity_cp,6415,commercial_sale
has_amenity_cr,5240,commercial_sale
has_amenity_dn,4149,commercial_sale
has_amenity_sy,3465,commercial_sale
has_amenity_ba,6,commercial_sale
has_amenity_se,3,commercial_sale
has_amenity_bw,2,commercial_sale
has_amenity_ac,2,commercial_sale
