feature,unique_values,dataset
id,19914,residential_rent
title,15627,residential_rent
currency,1,residential_rent
price_period,1,residential_rent
price_type,1,residential_rent
property_type,13,residential_rent
location,1009,residential_rent
share_url,19914,residential_rent
category,1,residential_rent
scraped_at_utc,1033,residential_rent
record_type,1,residential_rent
geo_validation_status,1,residential_rent
h3_res8,0,residential_rent
h3_res9,0,residential_rent
compound_name,56,residential_rent
id,19880,residential_sale
title,17380,residential_sale
currency,1,residential_sale
price_period,1,residential_sale
price_type,1,residential_sale
property_type,17,residential_sale
location,1496,residential_sale
share_url,19880,residential_sale
category,1,residential_sale
scraped_at_utc,1039,residential_sale
record_type,1,residential_sale
geo_validation_status,1,residential_sale
h3_res8,0,residential_sale
h3_res9,0,residential_sale
compound_name,205,residential_sale
id,12377,commercial_rent
title,10261,commercial_rent
currency,1,commercial_rent
price_period,1,commercial_rent
price_type,1,commercial_rent
property_type,19,commercial_rent
location,1159,commercial_rent
share_url,12377,commercial_rent
category,1,commercial_rent
scraped_at_utc,677,commercial_rent
record_type,1,commercial_rent
geo_validation_status,2,commercial_rent
h3_res8,0,commercial_rent
h3_res9,0,commercial_rent
compound_name,45,commercial_rent
id,8469,commercial_sale
title,7517,commercial_sale
currency,1,commercial_sale
price_period,1,commercial_sale
price_type,1,commercial_sale
property_type,18,commercial_sale
location,1241,commercial_sale
share_url,8469,commercial_sale
category,1,commercial_sale
scraped_at_utc,526,commercial_sale
record_type,1,commercial_sale
geo_validation_status,2,commercial_sale
h3_res8,0,commercial_sale
h3_res9,0,commercial_sale
compound_name,69,commercial_sale
