iter	RMSE
0	1.031579063
1	1.002279009
2	0.9750066131
3	0.9491306115
4	0.9245498886
5	0.9028945344
6	0.8820030717
7	0.8611988
8	0.8416629475
9	0.8230712724
10	0.8070059369
11	0.7912898447
12	0.7756052189
13	0.7615503568
14	0.7481514082
15	0.7356752204
16	0.7257111656
17	0.7144438891
18	0.7046468629
19	0.6948114634
20	0.6855926128
21	0.6764808999
22	0.6685251055
23	0.6612969963
24	0.6544584278
25	0.6469133046
26	0.640364438
27	0.6336499967
28	0.6273190688
29	0.6210359133
30	0.6153981691
31	0.6102646167
32	0.6052404825
33	0.6001460969
34	0.596306106
35	0.5918437922
36	0.5876195575
37	0.5840132455
38	0.5803250987
39	0.5774228804
40	0.574179496
41	0.5705215333
42	0.5679962876
43	0.5656163233
44	0.5632770995
45	0.5605846405
46	0.5585559942
47	0.5569426135
48	0.5546424509
49	0.5525857904
50	0.5505342775
51	0.5484941127
52	0.546464106
53	0.5446967313
54	0.5427218654
55	0.5409660614
56	0.5394955547
57	0.5378245676
58	0.5360428624
59	0.5344844001
60	0.532991181
61	0.5313436789
62	0.5299698136
63	0.528874843
64	0.5273120574
65	0.5261168266
66	0.5249237856
67	0.5238653611
68	0.5227521302
69	0.5218120847
70	0.5205842962
71	0.5199896925
72	0.5192305859
73	0.5180987478
74	0.517051444
75	0.5162700419
76	0.5154121699
77	0.5146756342
78	0.5137662876
79	0.5127953067
80	0.5117819258
81	0.5108399109
82	0.5101021836
83	0.5090506824
84	0.5084706044
85	0.5074972342
86	0.5066582905
87	0.5061136082
88	0.5056303947
89	0.505094223
90	0.5041048814
91	0.503209917
92	0.5026847971
93	0.5020396766
94	0.5014938597
95	0.5008925435
96	0.500387058
97	0.4999142104
98	0.4993002536
99	0.4983897452
100	0.4975818394
101	0.497099003
102	0.4969356098
103	0.4957632082
104	0.4954491514
105	0.4947495873
106	0.4940910167
107	0.4935796565
108	0.4929681701
109	0.4924854244
110	0.4916234573
111	0.4911886306
112	0.4906670108
113	0.4900014731
114	0.4890713956
115	0.4887755186
116	0.4882458339
117	0.4875460355
118	0.4867669235
119	0.4860934095
120	0.4856508053
121	0.4851283371
122	0.4846423935
123	0.484297146
124	0.4837376849
125	0.4834779177
126	0.4826351632
127	0.4818469504
128	0.481172305
129	0.4804769515
130	0.4799645399
131	0.4795994526
132	0.4792340153
133	0.4784552783
134	0.4781705287
135	0.4778528268
136	0.4775215943
137	0.4773220238
138	0.4769299921
139	0.4768571745
140	0.47676447
141	0.4761579748
142	0.4753379072
143	0.4745315271
144	0.4741293819
145	0.4738336556
146	0.4732995922
147	0.4728035684
148	0.4723789457
149	0.4717600437
150	0.4714210134
151	0.470475517
152	0.4699892587
153	0.4696319038
154	0.4691256233
155	0.4687961159
156	0.4680569357
157	0.4675511154
158	0.4671914344
159	0.4667326054
160	0.4662646254
161	0.4657214148
162	0.4653771867
163	0.4649610113
164	0.4644730765
165	0.4640544552
166	0.4637788407
167	0.4635085799
168	0.4631567227
169	0.4628521834
170	0.4623384056
171	0.461840983
172	0.4615360469
173	0.4613056642
174	0.4608336179
175	0.4601009845
176	0.4596624312
177	0.4593148824
178	0.4592583461
179	0.4582744406
180	0.4571916082
181	0.4565033426
182	0.4564508403
183	0.4561024612
184	0.455742262
185	0.4552361021
186	0.4548728217
187	0.4545410191
188	0.4540272421
189	0.4533299874
190	0.4526288232
191	0.4521584039
192	0.4520937286
193	0.4516465529
194	0.4513292614
195	0.4512903969
196	0.4509430284
197	0.4504169231
198	0.4500243288
199	0.4496379544
200	0.4492708724
201	0.4487188236
202	0.4480630482
203	0.4480003645
204	0.4475966402
205	0.4472399411
206	0.4466272419
207	0.4462612163
208	0.4462102834
209	0.4458066439
210	0.445472909
211	0.4445857971
212	0.4443957969
213	0.4443275452
214	0.4439660375
215	0.4433970171
216	0.4430131746
217	0.4429597252
218	0.4425739667
219	0.4421749653
220	0.4418466938
221	0.4415001529
222	0.4411711935
223	0.4411360185
224	0.4410852779
225	0.441040144
226	0.4407052174
227	0.4403727895
228	0.4401274562
229	0.4396113655
230	0.4395536431
231	0.4392943849
232	0.4388906006
233	0.4384561011
234	0.4380990998
235	0.4376336922
236	0.4372366561
237	0.4369875786
238	0.4365830845
239	0.4358952863
240	0.4352477894
241	0.4350113834
242	0.4345659373
243	0.4340226619
244	0.4339787269
245	0.4339370117
246	0.4338970795
247	0.433518269
248	0.4329102939
249	0.4324202337
250	0.432338911
251	0.4322448674
252	0.4322041971
253	0.4317190794
254	0.4313704509
255	0.4309862034
256	0.4306532684
257	0.4300526388
258	0.4293702529
259	0.4289493373
260	0.4286894963
261	0.4283073947
262	0.4282512756
263	0.4279944364
264	0.427434957
265	0.4269466119
266	0.4266357343
267	0.4262932104
268	0.4258252347
269	0.4255994605
270	0.4255376392
271	0.4254782533
272	0.4254196309
273	0.4252270274
274	0.4247899432
275	0.424750769
276	0.4244921848
277	0.4242306979
278	0.4238107841
279	0.4235695949
280	0.4234310602
281	0.4233522861
282	0.4232782173
283	0.4228434124
284	0.4222731561
285	0.4220367223
286	0.4216816433
287	0.4212392652
288	0.4209976483
289	0.4206400993
290	0.4206066403
291	0.4204342496
292	0.4199669264
293	0.4196411528
294	0.4192162442
295	0.4191404461
296	0.4185806039
297	0.4183129837
298	0.4182629305
299	0.4179835588
300	0.4177423842
301	0.4173691823
302	0.4171132564
303	0.4170212795
304	0.416973507
305	0.4162858799
306	0.4160568638
307	0.4157442058
308	0.4152275431
309	0.4151049485
310	0.4148163874
311	0.4144836215
312	0.4141141652
313	0.4139340676
314	0.4133503144
315	0.4129008821
316	0.4125589789
317	0.4123377491
318	0.4120099679
319	0.4119253794
320	0.4116348921
321	0.4110720856
322	0.410856495
323	0.4107040273
324	0.410480269
325	0.4101758301
326	0.4099319827
327	0.4095738509
328	0.4093961942
329	0.40904829
330	0.4088454242
331	0.4085679306
332	0.40824391
333	0.4079406179
334	0.4075797185
335	0.4073087218
336	0.4070681372
337	0.406659498
338	0.4064482089
339	0.4061393238
340	0.4057350926
341	0.4054117842
342	0.4048641296
343	0.4046734088
344	0.4041249171
345	0.404001181
346	0.4037241318
347	0.4033287297
348	0.4028925503
349	0.4025654458
350	0.4020917731
351	0.4019239703
352	0.4017180074
353	0.4014763495
354	0.4011542893
355	0.400786472
356	0.4005679826
357	0.4004566406
358	0.4001870125
359	0.3997602445
360	0.3995944783
361	0.3993056766
362	0.3989602228
363	0.3985627072
364	0.39841991
365	0.3982391441
366	0.3980756351
367	0.3979821636
368	0.3977612604
369	0.3974872385
370	0.3972358049
371	0.3971185249
372	0.3967946964
373	0.3967624738
374	0.3964243936
375	0.3960654071
376	0.395765667
377	0.3955288655
378	0.3953080622
379	0.3952867401
380	0.3949875364
381	0.3946338081
382	0.3944778632
383	0.3939970154
384	0.3937325857
385	0.393409989
386	0.3932308359
387	0.3929120414
388	0.3927098449
389	0.3922681366
390	0.3919944528
391	0.3915421441
392	0.3913181288
393	0.3911196976
394	0.3908294445
395	0.3905874258
396	0.3900554379
397	0.3898100898
398	0.3896085969
399	0.3891867365
400	0.3889480088
401	0.3885554705
402	0.3880513542
403	0.3876904448
404	0.3874587074
405	0.387187414
406	0.3869053462
407	0.3866372396
408	0.3864156699
409	0.3862517135
410	0.3860190013
411	0.385748682
412	0.3853341841
413	0.385146507
414	0.3849398345
415	0.3847505046
416	0.3846639246
417	0.3843867882
418	0.3841850436
419	0.3840603891
420	0.3838029829
421	0.3837459703
422	0.3836968736
423	0.3835294649
424	0.3832929896
425	0.3832411563
426	0.3829899116
427	0.3829361296
428	0.3824893952
429	0.3822098233
430	0.3821666297
431	0.3819917614
432	0.3817422227
433	0.3814447244
434	0.3812348389
435	0.3808482635
436	0.3807011613
437	0.3805347244
438	0.3803566124
439	0.3800817732
440	0.3800255512
441	0.3798381103
442	0.3796190959
443	0.3794443024
444	0.3791986116
445	0.3789409636
446	0.3787864284
447	0.3785052821
448	0.378356204
449	0.3781450463
450	0.3779911422
451	0.3777545717
452	0.377522492
453	0.3772946393
454	0.3770682745
455	0.3767540537
456	0.3765657561
457	0.3763689193
458	0.376250063
459	0.376079938
460	0.3757936684
461	0.3755034373
462	0.3752602658
463	0.3750799118
464	0.3748781983
465	0.3748440469
466	0.3746405509
467	0.3744857927
468	0.3741824299
469	0.3738422039
470	0.3735389427
471	0.373332245
472	0.3732092361
473	0.3729425198
474	0.3726461314
