iter	Passed	Remaining
0	70	70692
1	154	76943
2	235	78287
3	308	76816
4	382	76051
5	454	75279
6	531	75421
7	617	76573
8	691	76126
9	767	75943
10	844	75886
11	916	75420
12	990	75189
13	1065	75012
14	1140	74920
15	1216	74807
16	1292	74728
17	1366	74531
18	1441	74432
19	1516	74319
20	1594	74347
21	1668	74156
22	1743	74075
23	1821	74069
24	1893	73864
25	1969	73798
26	2044	73676
27	2121	73631
28	2208	73949
29	2303	74483
30	2381	74435
31	2459	74412
32	2534	74255
33	2644	75136
34	2756	76012
35	2840	76055
36	2956	76943
37	3032	76760
38	3109	76621
39	3186	76473
40	3262	76318
41	3338	76147
42	3412	75947
43	3485	75737
44	3559	75543
45	3635	75404
46	3722	75485
47	3797	75324
48	3878	75266
49	3955	75145
50	4028	74962
51	4105	74852
52	4184	74762
53	4263	74681
54	4344	74640
55	4432	74723
56	4542	75152
57	4625	75130
58	4709	75119
59	4781	74916
60	4858	74789
61	4936	74678
62	5010	74525
63	5083	74347
64	5160	74233
65	5238	74127
66	5309	73938
67	5387	73846
68	5464	73732
69	5541	73617
70	5617	73498
71	5701	73485
72	5795	73599
73	5872	73484
74	5946	73345
75	6022	73222
76	6099	73109
77	6174	72986
78	6251	72882
79	6329	72791
80	6405	72671
81	6487	72624
82	6563	72518
83	6640	72415
84	6771	72892
85	6846	72764
86	6923	72653
87	7004	72587
88	7077	72441
89	7150	72298
90	7225	72172
91	7297	72027
92	7373	71912
93	7446	71769
94	7520	71639
95	7595	71528
96	7671	71414
97	7748	71316
98	7826	71228
99	7902	71121
100	7977	71010
101	8054	70911
102	8106	70600
103	8183	70505
104	8259	70402
105	8336	70305
106	8411	70196
107	8489	70114
108	8565	70019
109	8641	69919
110	8719	69837
111	8795	69736
112	8876	69676
113	9009	70023
114	9085	69915
115	9162	69822
116	9237	69718
117	9314	69623
118	9393	69545
119	9471	69457
120	9549	69374
121	9625	69268
122	9700	69168
123	9781	69098
124	9857	69004
125	9944	68983
126	10020	68880
127	10100	68808
128	10176	68711
129	10249	68590
130	10325	68498
131	10401	68397
132	10475	68290
133	10549	68180
134	10624	68073
135	10698	67965
136	10777	67891
137	10861	67845
138	10945	67796
139	10995	67543
140	11068	67428
141	11145	67343
142	11268	67534
143	11358	67519
144	11453	67536
145	11538	67495
146	11614	67394
147	11690	67297
148	11764	67189
149	11840	67097
150	11915	66994
151	11996	66928
152	12084	66900
153	12172	66870
154	12253	66802
155	12333	66725
156	12409	66632
157	12485	66539
158	12560	66434
159	12637	66346
160	12715	66261
161	12791	66166
162	12877	66125
163	12953	66031
164	13032	65954
165	13146	66051
166	13220	65946
167	13293	65835
168	13370	65746
169	13499	65909
170	13576	65818
171	13657	65745
172	13734	65656
173	13819	65602
174	13893	65497
175	13968	65396
176	14044	65301
177	14117	65194
178	14190	65086
179	14263	64979
180	14338	64881
181	14412	64778
182	14450	64513
183	14526	64419
184	14611	64369
185	14692	64300
186	14770	64215
187	14842	64108
188	14917	64011
189	14993	63919
190	15068	63822
191	15144	63732
192	15219	63639
193	15296	63551
194	15371	63457
195	15447	63364
196	15522	63273
197	15601	63192
198	15724	63293
199	15800	63203
200	15879	63122
201	15954	63029
202	16027	62927
203	16113	62874
204	16190	62785
205	16266	62695
206	16342	62606
207	16416	62507
208	16503	62459
209	16607	62474
210	16681	62378
211	16787	62400
212	16866	62317
213	16943	62232
214	17020	62145
215	17108	62095
216	17236	62195
217	17364	62288
218	17445	62215
219	17520	62116
220	17593	62016
221	17670	61925
222	17760	61882
223	17797	61655
224	17887	61611
225	18000	61646
226	18080	61569
227	18172	61533
228	18245	61429
229	18318	61327
230	18393	61233
231	18468	61138
232	18545	61049
233	18622	60959
234	18702	60883
235	18775	60780
236	18855	60704
237	18951	60678
238	19032	60600
239	19107	60507
240	19183	60414
241	19258	60321
242	19335	60234
243	19415	60156
244	19488	60057
245	19561	59957
246	19635	59861
247	19708	59760
248	19779	59655
249	19850	59552
250	19924	59455
251	20001	59368
252	20074	59272
253	20155	59196
254	20268	59216
255	20348	59137
256	20426	59054
257	20506	58975
258	20588	58904
259	20665	58817
260	20739	58723
261	20813	58627
262	20885	58527
263	20961	58438
264	21034	58339
265	21108	58247
266	21184	58158
267	21263	58078
268	21346	58007
269	21425	57927
270	21508	57858
271	21585	57772
272	21661	57684
273	21735	57590
274	21808	57495
275	21884	57406
276	21959	57317
277	22035	57229
278	22109	57136
279	22183	57044
280	22257	56950
281	22341	56884
282	22462	56910
283	22545	56839
284	22623	56757
285	22709	56693
286	22789	56616
287	22865	56528
288	22941	56441
289	23017	56352
290	23094	56267
291	23170	56179
292	23248	56098
293	23320	56001
294	23395	55911
295	23470	55822
296	23549	55742
297	23624	55652
298	23702	55569
299	23775	55476
300	23853	55393
301	23925	55298
302	24003	55215
303	24077	55125
304	24148	55026
305	24225	54943
306	24301	54856
307	24397	54814
308	24473	54729
309	24562	54671
310	24653	54618
311	24757	54592
312	24831	54502
313	24907	54415
314	24988	54340
315	25063	54252
316	25139	54165
