compound_name,count,dataset
The City,13014,residential_rent
The View,1840,residential_rent
Unknown,1038,residential_rent
Do,1020,residential_rent
Ion,863,residential_rent
Fifth Square,650,residential_rent
Mountain View Hyde Park,297,residential_rent
District 5,171,residential_rent
Ever New Cairo,166,residential_rent
The 8,105,residential_rent
Madinaty,98,residential_rent
Stone Park,50,residential_rent
The Residence,46,residential_rent
Zahra,45,residential_rent
Ira,44,residential_rent
Go Heliopolis,43,residential_rent
Ev,42,residential_rent
El Patio 7,36,residential_rent
Sodic East,35,residential_rent
Red,32,residential_rent
Marassi,32,residential_rent
City View,31,residential_rent
Zayed Regency,30,residential_rent
I Sheraton,30,residential_rent
White,23,residential_rent
Terrace,19,residential_rent
Ons,18,residential_rent
Karma Residence,15,residential_rent
Kin,14,residential_rent
Rouh,9,residential_rent
Amwaj,7,residential_rent
Sawary,7,residential_rent
The Ridge Compound,6,residential_rent
Arina,4,residential_rent
Hyde Park Central,3,residential_rent
Gaia,3,residential_rent
Ori,3,residential_rent
Valore Smouha,2,residential_rent
Palm Hills New Cairo,2,residential_rent
Hacienda Red,2,residential_rent
Eko,2,residential_rent
Alex West,2,residential_rent
Atrio,2,residential_rent
Andalus,1,residential_rent
Arabesque (Fustat),1,residential_rent
Veranda Smouha,1,residential_rent
Karmell,1,residential_rent
Fanadir Bay,1,residential_rent
Aljar Sheraton,1,residential_rent
The Key,1,residential_rent
La Vista Bay,1,residential_rent
Mada,1,residential_rent
Caesar,1,residential_rent
Porto New Cairo,1,residential_rent
Mee,1,residential_rent
Via,1,residential_rent
The City,10826,residential_sale
Red,1631,residential_sale
The View,1361,residential_sale
Unknown,532,residential_sale
Do,519,residential_sale
Ion,462,residential_sale
Phia Il Monte Galala,362,residential_sale
Fifth Square,331,residential_sale
Rouh,287,residential_sale
Marassi,279,residential_sale
The Residence,251,residential_sale
Mountain View Hyde Park,220,residential_sale
District 5,172,residential_sale
Arina,156,residential_sale
Sodic East,145,residential_sale
La Vista 6,114,residential_sale
Ever New Cairo,96,residential_sale
The 8,95,residential_sale
Tala,74,residential_sale
Soul,63,residential_sale
Karmell,62,residential_sale
Madinaty,58,residential_sale
Stone Park,56,residential_sale
June,51,residential_sale
Zahra,46,residential_sale
La Vista Bay,43,residential_sale
La Vista Ras El Hekma,42,residential_sale
Amwaj,42,residential_sale
Ons,41,residential_sale
Telal Sokhna,40,residential_sale
Ramla,40,residential_sale
Lasirena Palm Beach,39,residential_sale
Go Heliopolis,36,residential_sale
D-Bay North Coast,34,residential_sale
White,32,residential_sale
El Patio 7,31,residential_sale
Stoda Sheraton Compound,31,residential_sale
Azha North Coast,31,residential_sale
Ogami Ras El Hekma,28,residential_sale
Beit Al Bahr,27,residential_sale
Blue Blue,26,residential_sale
Karma Residence,26,residential_sale
