amenity,count,dataset
has_amenity_ba,18326,residential_rent
has_amenity_se,17471,residential_rent
has_amenity_ac,13586,residential_rent
has_amenity_bk,13142,residential_rent
has_amenity_cp,11856,residential_rent
has_amenity_bw,11089,residential_rent
has_amenity_lb,9836,residential_rent
has_amenity_bl,9782,residential_rent
has_amenity_sy,9000,residential_rent
has_amenity_wc,7651,residential_rent
has_amenity_ss,7039,residential_rent
has_amenity_sp,6993,residential_rent
has_amenity_st,6105,residential_rent
has_amenity_pg,5553,residential_rent
has_amenity_mr,5379,residential_rent
has_amenity_co,5119,residential_rent
has_amenity_vw,4792,residential_rent
has_amenity_pp,2370,residential_rent
has_amenity_ba,18559,residential_sale
has_amenity_se,17555,residential_sale
has_amenity_sy,13265,residential_sale
has_amenity_cp,12750,residential_sale
has_amenity_bl,12184,residential_sale
has_amenity_sp,12170,residential_sale
has_amenity_ss,12051,residential_sale
has_amenity_lb,10904,residential_sale
has_amenity_vw,10333,residential_sale
has_amenity_wc,10330,residential_sale
has_amenity_co,10333,residential_sale
has_amenity_pg,9666,residential_sale
has_amenity_st,9843,residential_sale
has_amenity_bw,9150,residential_sale
has_amenity_mr,8502,residential_sale
has_amenity_ac,8274,residential_sale
has_amenity_bk,7447,residential_sale
has_amenity_pp,6154,residential_sale
has_amenity_an,10127,commercial_rent
has_amenity_cp,8103,commercial_rent
has_amenity_lb,8019,commercial_rent
has_amenity_cr,7881,commercial_rent
has_amenity_dn,5160,commercial_rent
has_amenity_sy,3183,commercial_rent
has_amenity_se,6,commercial_rent
has_amenity_ba,5,commercial_rent
has_amenity_bl,4,commercial_rent
has_amenity_st,2,commercial_rent
has_amenity_pg,1,commercial_rent
has_amenity_wc,2,commercial_rent
has_amenity_an,6875,commercial_sale
has_amenity_lb,6208,commercial_sale
has_amenity_cp,6135,commercial_sale
has_amenity_cr,4987,commercial_sale
has_amenity_dn,3965,commercial_sale
has_amenity_sy,3321,commercial_sale
has_amenity_se,2,commercial_sale
has_amenity_ba,5,commercial_sale
has_amenity_bw,2,commercial_sale
has_amenity_ac,2,commercial_sale
