text_feature,count,dataset
is_furnished,7515,residential_rent
has_garden,1730,residential_rent
sea_view,35,residential_rent
pool_view,880,residential_rent
corner_unit,121,residential_rent
fully_finished,502,residential_rent
core_shell,0,residential_rent
semi_furnished,788,residential_rent
hotel_apartment,669,residential_rent
luxury,1303,residential_rent
prime_location,765,residential_rent
is_duplex,849,residential_rent
is_penthouse,597,residential_rent
is_ground_floor,468,residential_rent
is_clinic,0,residential_rent
is_office,11,residential_rent
is_shop,1,residential_rent
is_admin,14,residential_rent
has_nanny_room,121,residential_rent
has_driver_room,2,residential_rent
has_private_entrance,11,residential_rent
is_furnished,482,residential_sale
has_garden,1686,residential_sale
sea_view,900,residential_sale
pool_view,587,residential_sale
corner_unit,578,residential_sale
fully_finished,2123,residential_sale
core_shell,8,residential_sale
semi_furnished,16,residential_sale
hotel_apartment,68,residential_sale
luxury,697,residential_sale
prime_location,1817,residential_sale
is_duplex,549,residential_sale
is_penthouse,574,residential_sale
is_ground_floor,201,residential_sale
is_clinic,1,residential_sale
is_office,7,residential_sale
is_shop,2,residential_sale
is_admin,4,residential_sale
has_nanny_room,19,residential_sale
has_driver_room,2,residential_sale
has_private_entrance,10,residential_sale
is_furnished,564,commercial_rent
has_garden,81,commercial_rent
sea_view,0,commercial_rent
pool_view,4,commercial_rent
corner_unit,100,commercial_rent
fully_finished,1741,commercial_rent
core_shell,10,commercial_rent
semi_furnished,3,commercial_rent
hotel_apartment,1,commercial_rent
luxury,158,commercial_rent
prime_location,861,commercial_rent
is_duplex,87,commercial_rent
is_penthouse,0,commercial_rent
is_ground_floor,179,commercial_rent
is_clinic,610,commercial_rent
is_office,7305,commercial_rent
is_shop,883,commercial_rent
is_admin,810,commercial_rent
has_nanny_room,0,commercial_rent
has_driver_room,0,commercial_rent
has_private_entrance,102,commercial_rent
is_furnished,57,commercial_sale
has_garden,20,commercial_sale
sea_view,3,commercial_sale
pool_view,4,commercial_sale
corner_unit,84,commercial_sale
fully_finished,499,commercial_sale
core_shell,24,commercial_sale
semi_furnished,0,commercial_sale
hotel_apartment,23,commercial_sale
luxury,66,commercial_sale
prime_location,458,commercial_sale
is_duplex,25,commercial_sale
is_penthouse,0,commercial_sale
is_ground_floor,125,commercial_sale
is_clinic,860,commercial_sale
is_office,3156,commercial_sale
is_shop,1949,commercial_sale
is_admin,343,commercial_sale
has_nanny_room,0,commercial_sale
has_driver_room,0,commercial_sale
has_private_entrance,28,commercial_sale
