compound_name,count,dataset
The City,6094,residential_rent
Unknown,984,residential_rent
The View,601,residential_rent
Fifth Square,280,residential_rent
Privado,221,residential_rent
Mountain View Hyde Park,128,residential_rent
District 5,68,residential_rent
Madinaty,60,residential_rent
Palm Hills Golf Extension,46,residential_rent
Go Heliopolis,39,residential_rent
Stone Park,35,residential_rent
The Residences,31,residential_rent
Sodic East,28,residential_rent
Marassi,23,residential_rent
Zayed Regency,22,residential_rent
I Sheraton,21,residential_rent
Red,20,residential_rent
City View,20,residential_rent
Terrace,19,residential_rent
El Patio 7,17,residential_rent
The 8,16,residential_rent
White,14,residential_rent
Karma Residence,12,residential_rent
Sawary,6,residential_rent
Almaza Bay,6,residential_rent
Amwaj,4,residential_rent
Hyde Park Central,3,residential_rent
The Residence,3,residential_rent
Valore Smouha,2,residential_rent
Atrio,2,residential_rent
Alex West,2,residential_rent
Marina 8,2,residential_rent
Palm Hills New Cairo,2,residential_rent
Gaia,2,residential_rent
Andalus,1,residential_rent
Arabesque (Fustat),1,residential_rent
Aljar Sheraton,1,residential_rent
Karmell,1,residential_rent
Veranda Smouha,1,residential_rent
Caesar,1,residential_rent
Hacienda Red,1,residential_rent
Porto New Cairo,1,residential_rent
Cairo Gate,1,residential_rent
La Vista Bay,1,residential_rent
Down Town,1,residential_rent
Fanadir Bay,1,residential_rent
Cairo Town,1,residential_rent
The City,7997,residential_sale
Red,1104,residential_sale
The View,763,residential_sale
Unknown,687,residential_sale
Fifth Square,235,residential_sale
Marassi,183,residential_sale
Phia Il Monte Galala,177,residential_sale
Privado,155,residential_sale
The Residence,138,residential_sale
District 5,110,residential_sale
Palm Hills Golf Extension,109,residential_sale
Mountain View Hyde Park,106,residential_sale
Sodic East,84,residential_sale
La Vista 6,64,residential_sale
Marina 8,63,residential_sale
Karmell,55,residential_sale
Fouka Bay,52,residential_sale
Madinaty,49,residential_sale
Stone Park,48,residential_sale
Soul,46,residential_sale
Talala,41,residential_sale
The Residences,37,residential_sale
Go Heliopolis,36,residential_sale
June,35,residential_sale
Almaza Bay,34,residential_sale
Amwaj,33,residential_sale
Ramla,33,residential_sale
White,30,residential_sale
