text_feature,count,dataset
is_furnished,7628,residential_rent
has_garden,1948,residential_rent
sea_view,40,residential_rent
pool_view,901,residential_rent
corner_unit,123,residential_rent
fully_finished,506,residential_rent
core_shell,0,residential_rent
semi_furnished,794,residential_rent
hotel_apartment,671,residential_rent
luxury,1330,residential_rent
prime_location,779,residential_rent
is_duplex,868,residential_rent
is_penthouse,620,residential_rent
is_ground_floor,468,residential_rent
is_clinic,0,residential_rent
is_office,11,residential_rent
is_shop,1,residential_rent
is_admin,43,residential_rent
has_nanny_room,125,residential_rent
has_driver_room,2,residential_rent
has_private_entrance,11,residential_rent
is_furnished,499,residential_sale
has_garden,1916,residential_sale
sea_view,918,residential_sale
pool_view,631,residential_sale
corner_unit,585,residential_sale
fully_finished,2146,residential_sale
core_shell,8,residential_sale
semi_furnished,17,residential_sale
hotel_apartment,76,residential_sale
luxury,724,residential_sale
prime_location,1832,residential_sale
is_duplex,561,residential_sale
is_penthouse,593,residential_sale
is_ground_floor,204,residential_sale
is_clinic,2,residential_sale
is_office,7,residential_sale
is_shop,7,residential_sale
is_admin,27,residential_sale
has_nanny_room,20,residential_sale
has_driver_room,3,residential_sale
has_private_entrance,10,residential_sale
is_furnished,618,commercial_rent
has_garden,122,commercial_rent
sea_view,0,commercial_rent
pool_view,4,commercial_rent
corner_unit,103,commercial_rent
fully_finished,1984,commercial_rent
core_shell,13,commercial_rent
semi_furnished,3,commercial_rent
hotel_apartment,1,commercial_rent
luxury,182,commercial_rent
prime_location,990,commercial_rent
is_duplex,91,commercial_rent
is_penthouse,0,commercial_rent
is_ground_floor,187,commercial_rent
is_clinic,635,commercial_rent
is_office,8131,commercial_rent
is_shop,933,commercial_rent
is_admin,2144,commercial_rent
has_nanny_room,0,commercial_rent
has_driver_room,0,commercial_rent
has_private_entrance,105,commercial_rent
is_furnished,63,commercial_sale
has_garden,34,commercial_sale
sea_view,6,commercial_sale
pool_view,4,commercial_sale
corner_unit,94,commercial_sale
fully_finished,512,commercial_sale
core_shell,25,commercial_sale
semi_furnished,0,commercial_sale
hotel_apartment,23,commercial_sale
luxury,66,commercial_sale
prime_location,492,commercial_sale
is_duplex,30,commercial_sale
is_penthouse,0,commercial_sale
is_ground_floor,131,commercial_sale
is_clinic,891,commercial_sale
is_office,3362,commercial_sale
is_shop,2051,commercial_sale
is_admin,713,commercial_sale
has_nanny_room,0,commercial_sale
has_driver_room,0,commercial_sale
has_private_entrance,32,commercial_sale
