listing_id,category,price_egp,period,property_type,bedrooms,bathrooms,size_sqm,location_text,lat,lng,scraped_at_utc,images_count,amenities
52713975,commercial_buy,7750000.0,sale,Retail,,1.0,45.0,"Mirage City, The 1st Settlement, New Cairo City, Cairo",30.0755672454834,31.43722915649414,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'DN', 'CR', 'LB']"
52187998,commercial_buy,10500000.0,sale,Clinic,2.0,1.0,101.0,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.07310104370117,31.53912734985352,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'LB']"
51161402,commercial_buy,5500000.0,sale,Office Space,1.0,,31.0,"Granoy, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.02072525024414,31.430124282836918,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'LB']"
52720484,commercial_buy,20000000.0,sale,Retail,,1.0,87.0,"Lake Yard, Northern Expansions, 6 October City, Giza",29.988744735717773,30.93131256103516,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'DN']"
8393279,commercial_buy,23000000.0,sale,Office Space,4.0,2.0,137.0,"Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.073923110961918,31.465532302856445,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'SY', 'CP', 'DN', 'CR', 'LB']"
8623697,commercial_buy,63300000.0,sale,Retail,,,237.0,"Eastside New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.08203887939453,31.47706413269043,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'DN', 'CR', 'LB']"
8601558,commercial_buy,7697280.0,sale,Clinic,,,48.0,"Hyde Park Business District Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",29.973722457885746,31.54414176940918,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'DN', 'CR', 'LB']"
8623698,commercial_buy,16000000.0,sale,Office Space,,,107.0,"Eastside New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.08203887939453,31.47706413269043,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'DN', 'CR', 'LB']"
8678419,commercial_buy,4500000.0,sale,Medical Facility,,1.0,58.0,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",30.00690460205078,31.05933380126953,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'SY', 'DN', 'CR', 'LB']"
8676438,commercial_buy,11936176.0,sale,Office Space,,1.0,64.0,"Arkan Palm 205, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",30.02070426940918,31.005306243896484,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'LB']"
8685659,commercial_buy,33000000.0,sale,Office Space,,1.0,192.0,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.00575065612793,31.533998489379883,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'LB']"
8701157,commercial_buy,125000000.0,sale,Retail,,1.0,248.0,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",30.014663696289062,31.406206130981445,2026-02-19T17:59:24.617839+00:00,2,"['DN', 'AN']"
8689379,commercial_buy,32000000.0,sale,Office Space,,1.0,192.0,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.00575065612793,31.533998489379883,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP']"
52709859,commercial_buy,8600000.0,sale,Office Space,1.0,1.0,49.0,"Kernel Business Hub, North Teseen St., The 5th Settlement, New Cairo City, Cairo",30.019926071166992,31.43036651611328,2026-02-19T17:59:24.617839+00:00,2,"['CP', 'LB']"
52453572,commercial_buy,6930000.0,sale,Shop,,1.0,27.0,"Al Hosary, 6 October City, Giza",29.97218894958496,30.94396209716797,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'LB']"
52459338,commercial_buy,2016000.0,sale,Office Space,1.0,1.0,21.0,"Al Mehwar Al Markazi, 1st District, 6 October City, Giza",29.974369049072266,30.94805145263672,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'LB']"
8638504,commercial_buy,7141500.0,sale,Clinic,1.0,1.0,45.0,"Centro Zayed, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",30.03130531311035,30.9948673248291,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'SY']"
52456304,commercial_buy,70000000.0,sale,Office Space,1.0,1.0,332.0,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",30.028350830078125,31.40838432312012,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'LB']"
52452184,commercial_buy,3360000.0,sale,Office Space,1.0,1.0,56.0,"Central Axis, 5th District, 6 October City, Giza",29.95393180847168,30.916418075561523,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'SY', 'DN', 'CR', 'LB']"
52452228,commercial_buy,41580000.0,sale,Office Space,1.0,1.0,189.0,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.01116943359375,31.516115188598636,2026-02-19T17:59:24.617839+00:00,2,['LB']
52446927,commercial_buy,3360000.0,sale,Shop,,,48.0,"Centrada Mall, 4th District, 6 October City, Giza",29.95856094360352,30.92218589782715,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'LB', 'CP']"
8518888,commercial_buy,9000000.0,sale,Shop,,1.0,45.0,"Central Axis, 5th District, 6 October City, Giza",29.95393180847168,30.916418075561523,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'SY', 'LB', 'CR', 'DN']"
52194519,commercial_buy,17300000.0,sale,Medical Facility,,,62.0,"South Lotus, El Lotus, New Cairo City, Cairo",30.019306182861328,31.513652801513672,2026-02-19T17:59:24.617839+00:00,2,"['AN', 'CP', 'LB']"
