listing_id,category,price_egp,period,property_type,bedrooms,bathrooms,size_sqm,location_text,lat,lng,scraped_at_utc,images_count,amenities
52974566,rent,50000.0,monthly,Apartment,3.0,3,189.0,"Hyde Park, New Cairo City, Cairo",29.995922088623047,31.554126739501957,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'SE', 'WC', 'LB']"
8653638,rent,35000.0,monthly,Apartment,3.0,2,170.0,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",30.051462173461918,31.538991928100582,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'BW', 'AC', 'BK', 'CP']"
52974180,rent,70000.0,monthly,Apartment,3.0,3,161.0,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.02259635925293,31.54581451416016,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'AC', 'CP', 'BK', 'SE', 'WC', 'BL', 'LB']"
52969227,rent,22000.0,monthly,Apartment,0.0,1,80.0,"South Lotus, El Lotus, New Cairo City, Cairo",30.019306182861328,31.513652801513672,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'BW', 'AC', 'CP', 'BK', 'SP', 'SE', 'SY', 'LB', 'BL', 'CO']"
52969105,rent,35000.0,monthly,Apartment,0.0,1,80.0,"Hyde Park, New Cairo City, Cairo",29.995922088623047,31.554126739501957,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'BW', 'AC', 'CP', 'BK', 'CO', 'LB', 'BL', 'SY', 'SE', 'SP']"
8560627,rent,95000.0,monthly,Apartment,3.0,4,230.0,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",30.028350830078125,31.40838432312012,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'BW', 'AC', 'CP', 'BK', 'MR', 'SP', 'ST', 'VW', 'SE', 'SS', 'SY', 'WC', 'BL', 'CO', 'LB']"
52968030,rent,300000.0,monthly,Villa,5.0,5,450.0,"The Address, 12th District, Sheikh Zayed City, Giza",30.040565490722656,30.99054336547852,2026-02-19T16:31:09.727088+00:00,2,['BA']
52196669,rent,95000.0,monthly,Apartment,3.0,3,180.0,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.02259635925293,31.54581451416016,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'CP', 'AC', 'BW', 'WC', 'SY', 'SS', 'BL', 'SE', 'LB']"
52967888,rent,115000.0,monthly,Apartment,3.0,3,188.0,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.02259635925293,31.54581451416016,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'BW', 'AC', 'CP', 'BK', 'MR', 'PG', 'PP', 'SP', 'ST', 'VW', 'SE', 'SS', 'SY', 'WC', 'BL', 'LB', 'CO']"
7595663,rent,15000.0,monthly,Apartment,0.0,1,30.0,"Batlimos Al Falaki St., Saba Basha, Hay Sharq, Alexandria",31.2391357421875,29.95549201965332,2026-02-19T16:31:09.727088+00:00,2,['BK']
52725625,rent,85000.0,monthly,Apartment,2.0,3,140.0,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.01116943359375,31.516115188598636,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'BW', 'AC', 'CP', 'BK', 'PG', 'SP', 'SE', 'SS', 'SY']"
8709861,rent,336000.0,monthly,Villa,4.0,4,650.0,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.021957397460938,31.44134521484375,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'BW', 'AC', 'CP', 'MR', 'BK', 'PG', 'SP', 'SE', 'SS', 'SY']"
52707055,rent,113000.0,monthly,Apartment,3.0,4,200.0,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.00575065612793,31.533998489379883,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'BW', 'AC', 'CP', 'BK', 'MR', 'SP', 'SE', 'SS', 'SY']"
8496174,rent,12000.0,monthly,Apartment,2.0,1,75.0,"Tabarak, Zahraa El Maadi, Hay El Maadi, Cairo",29.979713439941406,31.336990356445312,2026-02-19T16:31:09.727088+00:00,2,['BA']
51046669,rent,30000.0,monthly,Apartment,3.0,3,235.0,"North Lotus, El Lotus, New Cairo City, Cairo",30.034791946411133,31.520736694335938,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'SE']"
8660464,rent,12000.0,monthly,Apartment,2.0,2,107.0,"Tabarak, Zahraa El Maadi, Hay El Maadi, Cairo",29.979713439941406,31.336990356445312,2026-02-19T16:31:09.727088+00:00,2,['BA']
52725100,rent,60000.0,monthly,Apartment,2.0,4,160.0,"West Golf, El Katameya Compounds, El Katameya, New Cairo City, Cairo",29.99252319335937,31.395410537719727,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'BW', 'CP', 'BK', 'ST', 'SE', 'WC', 'BL']"
8682680,rent,65000.0,monthly,Villa,3.0,3,266.0,"O West, 6 October Compounds, 6 October City, Giza",29.969215393066406,30.99283218383789,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'AC', 'CP', 'BK', 'MR', 'PG', 'SE', 'WC']"
8703004,rent,27000.0,monthly,Apartment,2.0,3,132.0,"O West, 6 October Compounds, 6 October City, Giza",29.969215393066406,30.99283218383789,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'AC', 'CP', 'SE', 'WC']"
51926886,rent,45000.0,monthly,Duplex,3.0,3,287.0,"O West, 6 October Compounds, 6 October City, Giza",29.969215393066406,30.99283218383789,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'CP', 'AC', 'MR', 'PG', 'SE', 'WC', 'LB']"
52197541,rent,35000.0,monthly,Apartment,3.0,3,168.0,"O West, 6 October Compounds, 6 October City, Giza",29.969215393066406,30.99283218383789,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'AC', 'CP', 'SE', 'WC']"
52447783,rent,45000.0,monthly,Apartment,2.0,3,173.0,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",30.00690460205078,31.05933380126953,2026-02-19T16:31:09.727088+00:00,2,"['BA', 'AC', 'CP', 'SE', 'WC', 'LB']"
