amenities,amenity_count,amenity_names,bathrooms,bedrooms,category,currency,description,details_path,has_coordinates,id,images,images_count,is_premium,is_price_outlier,is_size_outlier,is_verified,latitude,listed_date,listing_id,location_depth,location_full_name,location_id,location_path_name,location_slug,location_type,longitude,price,price_per_sqft,property_type,record_type,scraped_at_utc,share_url,size_sqm,size_sqm_reported,source_country_code,source_provider,title
"[""BA"", ""CP"", ""PG"", ""SP"", ""ST"", ""VW"", ""SE"", ""SS"", ""SY"", ""WC"", ""BL""]",11,"[""Balcony"", ""Covered Parking"", ""Private Garden"", ""Shared Pool"", ""Study"", ""View of Water"", ""Security"", ""Shared Spa"", ""Shared Gym"", ""Walk-in Closet"", ""View of Landmark""]",2,3,buy,EGP,"A prime location villa with a fantastic view of the club, 
with the lowest installments and longest repayment period. 

Own a villa in the largest compound in the Fifth Settlement, AZZAR. 

Villa area : 173 square meters. 
Consists of 3 floors ( ground floor with garden, first floor, private roof ). 
4 bedrooms - 3-piece reception - nanny room with an open landscape view. 

Payment plan:
A down payment 10% only, with the rest paid in equal installments up to 8 years. 

For details and inquiries,[REDACTED_PHONE] + WhatsApp",/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-2-8514666.html,True,8514666,"[""https://static.shared.propertyfinder.eg/media/images/listing/N1QPZB2MF4V1T1KXTKX02DWB5W/d7fed4e9-e0d6-4ecc-bb8b-bfcbf6def6fd/668x452.jpg""]",9,True,False,False,False,30.037769317626953,2026-01-07T16:32:29Z,N1QPZB2MF4V1T1KXTKX02DWB5W,5,"Azzar 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",41137,"Cairo, New Cairo City, The 5th Settlement, 5th Settlement Compounds",new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-2,STREET,31.534711837768555,13700000,79190.7514450867,Villa,property,2026-01-07T16:32:29Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-2-8514666.html,173,173,EG,propertyfinder,"Luxury villa with the lowest price, 33% Discount"
"[""BA"", ""BW"", ""CP"", ""SE"", ""WC"", ""BL""]",6,"[""Balcony"", ""Built in Wardrobes"", ""Covered Parking"", ""Security"", ""Walk-in Closet"", ""View of Landmark""]",2,3,buy,EGP,"Mountain View 3 MV3
New cairo

One Story Standalone
For Sale

BUA: 180sqm 
Land area: 406sqm 

3 Bedrooms
2 Bathrooms
Core & shell

Down payment: 15,000,000 EGP
Remaining: 1,855,470 EGP

Total Price: 16,856,470 EGP


About New Avenue:

New Avenue is a real estate consultancy based in Egypt, aiming at providing comprehensive services for your real estate needs. If you are willing to make an investment or are interested in buying a residential or a commercial property, we are there for you to ensure transforming your plans into reality.

Given our individual experiences in the top real estate companies in Egypt & abroad, we have reached the conclusion that trust is primary factor we should be offering you when it comes to buying, renting or submitting your property for sale or rent.

New Avenue is aiming to provide our customer with almost all the needs that you would need Residential or Commercial. New Avenue offers offices and Retails that are available in almost every district in Egypt like New Cairo, Heliopolis, Nasr City, 6th of October.",/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-3-8664441.html,True,8664441,"[""https://static.shared.propertyfinder.eg/media/images/listing/7JQKHKKXB6VM9YR7D3RSXMZS2M/76ae9d8a-fbea-4c50-9a31-ea094dc9752b/668x452.jpg""]",21,True,False,False,False,30.070423126220703,2026-02-07T03:12:42Z,7JQKHKKXB6VM9YR7D3RSXMZS2M,5,"Mountain View 3, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",40957,"Cairo, New Cairo City, The 5th Settlement, 5th Settlement Compounds",new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-3,STREET,31.584726333618164,16856470,93647.05555555556,Villa,property,2026-02-07T03:12:42Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-3-8664441.html,180,180,EG,propertyfinder,Rare Price One Story Standalone
"[""MR"", ""ST"", ""AC"", ""BA"", ""PG"", ""PP"", ""SP"", ""SS"", ""SE"", ""CP"", ""BW"", ""WC"", ""BK"", ""VW"", ""BL"", ""SY""]",16,"[""Maids Room"", ""Study"", ""Central A/C"", ""Balcony"", ""Private Garden"", ""Private Pool"", ""Shared Pool"", ""Shared Spa"", ""Security"", ""Covered Parking"", ""Built in Wardrobes"", ""Walk-in Closet"", ""Kitchen Appliances"", ""View of Water"", ""View of Landmark"", ""Shared Gym""]",2,3,buy,EGP,"villa for sale in the Fifth Settlement in Dijar Compound from Ready Group, New Azzar Land

Prime Location:
In front of Hyde Park, next to Crescent walk  and next to
 La Vista

villa area: 206 m

Cash required: 2,000,000
The rest of the amount is in installments over 8 years without interest

Mobile or WhatsApp:[REDACTED_PHONE]




Reedy Group Real Estate Development Company is the owner of Azzar New Cairo project, and it is also a large company in the field of cosmetics. Recently, it decided to move its compass towards the field of real estate. Its first project was Azzar New Cairo. After its great success, it decided to implement Azzar 2 New Cairo, in cooperation with one of the largest real estate development companies in Egypt, which is Dora Company. It also has a great reputation and has been distinguished by its experience in the real estate market for more than 79 years and owns many residential, commercial and coastal projects.",/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-7923668.html,True,7923668,"[""https://static.shared.propertyfinder.eg/media/images/listing/01JPJ3DBDSGW4FQWX7WG3CS8PB/d6dfe6f8-2b7c-4e94-8e6d-e78a08f5e727-c09598c0-72df-491e-81b7-fc2a06e42fae/668x452.jpg""]",18,True,False,False,False,30.030364990234375,2025-03-04T12:27:50Z,01JPJ3DBDSGW4FQWX7WG3CS8PB,5,"Azzar, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",40710,"Cairo, New Cairo City, The 5th Settlement, 5th Settlement Compounds",new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar,STREET,31.52837562561035,2000000,9708.73786407767,Villa,property,2025-03-04T12:27:50Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-7923668.html,206,206,EG,propertyfinder,villa for sale in New Azzar Land  over 8 year
"[""BA"", ""CP"", ""MR"", ""PG"", ""AC"", ""PP"", ""SP"", ""LB"", ""BL"", ""WC"", ""SY"", ""SS"", ""SE"", ""VW""]",14,"[""Balcony"", ""Covered Parking"", ""Maids Room"", ""Private Garden"", ""Central A/C"", ""Private Pool"", ""Shared Pool"", ""Lobby in Building"", ""View of Landmark"", ""Walk-in Closet"", ""Shared Gym"", ""Shared Spa"", ""Security"", ""View of Water""]",2,3,buy,EGP,"Sea View Townhouse Villa
In Silver Sands, boasting the largest Crystal Lagoon area
Best beach on the North Coast

Details:
Area: 137 sq m
Consisting of: Ground floor with garden + First floor
2 bedrooms + 2 bathrooms + Reception + Kitchen

Fully finished with ACs
Prime location on the North Coast near Al Maza and Ras El Hekma Bay

Payment Method:
Down payment of 1,890,000 and installments up to 8 years interest-free
For more details, call[REDACTED_PHONE] + WhatsApp",/en/plp/buy/villa-for-sale-north-coast-qesm-marsa-matrouh-silver-sands-8662250.html,True,8662250,"[""https://static.shared.propertyfinder.eg/media/images/listing/M5KQPB9S6MMNCGCA5EE0YN98V0/408a6f89-4bbb-471a-a722-ec4cae85dab5/668x452.jpg""]",8,True,False,False,False,31.265277862548828,2026-02-05T20:08:46Z,M5KQPB9S6MMNCGCA5EE0YN98V0,3,"Silver Sands, Qesm Marsa Matrouh, North Coast",41237,"North Coast, Qesm Marsa Matrouh",qesm-marsa-matrouh-silver-sands,DISTRICT,27.379444122314453,2300000,115000.0,Villa,property,2026-02-05T20:08:46Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-qesm-marsa-matrouh-silver-sands-8662250.html,20,20,EG,propertyfinder,Sea View Villa - High End Finishing - lowest DP
"[""BA"", ""MR"", ""PG"", ""ST"", ""SE"", ""CO"", ""LB"", ""BL"", ""WC""]",9,"[""Balcony"", ""Maids Room"", ""Private Garden"", ""Study"", ""Security"", ""Children's Pool"", ""Lobby in Building"", ""View of Landmark"", ""Walk-in Closet""]",2,3,buy,EGP,"Standalone villa for sale in Emaar 
Project : Belle vie 

Garden villas

Type : Grace A

Bua : 205 

3 bedrooms ( master bedroom ) 
2 bathrooms 

+ Nanny's room with bathroom 

Down payment : 16,000,000
Remaining : 8,800,000
Total price : 24,800,000

About New Avenue:
                     
New Avenue is a real estate consultancy based in Egypt, aiming at providing comprehensive services for your real estate needs. If you are willing to make an investment or are interested in buying a residential or a commercial property, we are there for you to ensure transforming your plans into reality.
                           
Given our individual experiences in the top real estate companies in Egypt & abroad, we have reached the conclusion that trust is primary factor we should be offering you when it comes to buying, renting or submitting your property for sale or rent.

New Avenue is aiming to provide our customer with almost all the needs that you would need Residential or Commercial. New Avenue offers offices and Retails that are available in almost every district in Egypt like New Cairo, Heliopolis, Nasr City, 6th o",/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-new-zayed-city-belle-vie-8642807.html,True,8642807,"[""https://static.shared.propertyfinder.eg/media/images/listing/NYYAF9VFMSR8YVK9DKRBA11E1W/83c5cee0-3c57-4fc2-bde2-c451328acd20/668x452.jpg""]",10,True,False,False,False,30.062620162963867,2026-02-03T11:35:14Z,NYYAF9VFMSR8YVK9DKRBA11E1W,4,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza",41200,"Giza, Sheikh Zayed City, New Zayed City",sheikh-zayed-city-new-zayed-city-belle-vie,SUBDISTRICT,30.891742706298828,24800000,120975.60975609756,Villa,property,2026-02-03T11:35:14Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-new-zayed-city-belle-vie-8642807.html,205,205,EG,propertyfinder,Villa prime location installments landscape view
"[""BA"", ""SE"", ""BL""]",3,"[""Balcony"", ""Security"", ""View of Landmark""]",2,3,buy,EGP,"For Sale – Villa Q1 in Noor Compound by TMG Group

 Details:

Developer: Talaat Moustafa Group (TMG)

Type: Villa Q1

Land Area: 195 sqm

BUA: 195 sqm

Contract: Old contract – 15 years installment plan

Delivery: 2027

 Financials:

Cash: 5,000,000 EGP

Remaining: 10,750,000 EGP till 2038

Monthly installment: 25,000 EGP

Yearly payment: 244,000 EGP

 Excellent opportunity with long-term payment plan in one of TMG’s most promising projects!",/en/plp/buy/villa-for-sale-cairo-noor-city-8192174.html,True,8192174,"[""https://static.shared.propertyfinder.eg/media/images/listing/01K929G6BKXTWYGQ2FX3AB2N0R/487e04af-18a7-4126-b97e-851580d3c1ec-watermarked/668x452.jpg""]",7,True,False,False,False,30.100278854370117,2025-11-02T12:54:09Z,01K929G6BKXTWYGQ2FX3AB2N0R,2,"Noor City, Cairo",41454,Cairo,noor-city,TOWN,31.905691146850586,4500000,23076.923076923078,Villa,property,2025-11-02T12:54:09Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-noor-city-8192174.html,195,195,EG,propertyfinder,For Sale – Villa Q1 in Noor Compound by TMG Group
"[""BA"", ""BW"", ""AC"", ""SY"", ""SS"", ""SE"", ""VW"", ""ST"", ""SP"", ""PG"", ""MR"", ""PP"", ""LB"", ""BL"", ""WC"", ""CO""]",16,"[""Balcony"", ""Built in Wardrobes"", ""Central A/C"", ""Shared Gym"", ""Shared Spa"", ""Security"", ""View of Water"", ""Study"", ""Shared Pool"", ""Private Garden"", ""Maids Room"", ""Private Pool"", ""Lobby in Building"", ""View of Landmark"", ""Walk-in Closet"", ""Children's Pool""]",2,3,buy,EGP,"Rowaq Compound – Sheikh Zayed
• Villas Only (100%)
• Prime Location near Al Ahly, Hyper One, Arkan, and Mall of Arabia
• Architectural Design by Dr. Hisham Helal
• Green Spaces and Lakes – Footprint 27%
Units:
• Sky Villa from 141 sq m
• Garden Villa from 197 sq m
• Prices starting from 7.5 million EGP
Amenities:
• Clubhouse – Pools – Gym – Spa
• Kids Area – Mosque – Cafes
• 24/7 Security + Smart Gates
Payment:
• 10% Down Payment
• Installments up to 9 years
• Delivery in 3 years
Book your unit now:[REDACTED_PHONE]",/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-green-revolution-8690766.html,True,8690766,"[""https://static.shared.propertyfinder.eg/media/images/listing/FYKG55A3GFMBSW6WNHPZN6P374/38dd216f-816d-4bf7-aea0-fc71d43543e4/668x452.jpg""]",13,False,False,False,False,30.065872192382812,2026-02-10T16:46:17Z,FYKG55A3GFMBSW6WNHPZN6P374,4,"Green Revolution, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",28910,"Giza, Sheikh Zayed City, Sheikh Zayed Compounds",sheikh-zayed-city-sheikh-zayed-compounds-green-revolution,COMPOUND,31.001977920532227,7500000,53191.48936170213,Villa,property,2026-02-10T16:46:17Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-green-revolution-8690766.html,141,141,EG,propertyfinder,Your villa for the price of an apartment in Sheikh
"[""BA"", ""BW"", ""AC"", ""CP"", ""BK"", ""MR"", ""PG"", ""PP"", ""SP"", ""ST"", ""VW"", ""SE"", ""SS"", ""SY""]",14,"[""Balcony"", ""Built in Wardrobes"", ""Central A/C"", ""Covered Parking"", ""Kitchen Appliances"", ""Maids Room"", ""Private Garden"", ""Private Pool"", ""Shared Pool"", ""Study"", ""View of Water"", ""Security"", ""Shared Spa"", ""Shared Gym""]",2,3,buy,EGP,"North Coast
Marina 1
Duplex for Sale
Explicit Sea View
3 minutes from the lake and beach
450 sq m back garden
300 sq m front garden
Private swimming pool
Pool bar
3 air-conditioned bedrooms
2 bathrooms
Ultra-modern finishing 2024
Fully imported furniture 2024
Exterior security cameras

Asking price: 15,000,000 EGP (final)
Non-negotiable
Code: M1533",/en/plp/buy/villa-for-sale-north-coast-al-alamein-marina-marina-1-8606906.html,True,8606906,"[""https://static.shared.propertyfinder.eg/media/images/listing/5GW3AH2FHS5DPNVEWBYYSMWFNR/c4ed7e59-5ed5-4db5-8a1f-510982eee182/668x452.jpg""]",21,False,False,False,False,30.817907333374023,2026-01-26T21:16:18Z,5GW3AH2FHS5DPNVEWBYYSMWFNR,4,"Marina 1, Marina, Al Alamein, North Coast",37639,"North Coast, Al Alamein, Marina",al-alamein-marina-marina-1,COMPOUND,29.056842803955078,15000000,83333.33333333333,Villa,property,2026-01-26T21:16:18Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-al-alamein-marina-marina-1-8606906.html,180,180,EG,propertyfinder,Ultra-modern duplex with private pool in marina 1
"[""BK"", ""AC"", ""BW"", ""CP"", ""BA"", ""MR"", ""SE"", ""VW"", ""SP"", ""PP"", ""PG"", ""BL"", ""WC"", ""SY"", ""SS"", ""LB"", ""CO"", ""ST""]",18,"[""Kitchen Appliances"", ""Central A/C"", ""Built in Wardrobes"", ""Covered Parking"", ""Balcony"", ""Maids Room"", ""Security"", ""View of Water"", ""Shared Pool"", ""Private Pool"", ""Private Garden"", ""View of Landmark"", ""Walk-in Closet"", ""Shared Gym"", ""Shared Spa"", ""Lobby in Building"", ""Children's Pool"", ""Study""]",2,3,buy,EGP,"Own a 175 m Villa Flexible Payments 

Discover your luxurious independent villa spanning 175 m, designed for maximum comfort, privacy, and elegance, with a flexible payment plan tailored to your needs.

Total Price: EGP 19,200,000

Down Payment: EGP 960,000

Monthly Installment: EGP 34,560

Annual Payment: EGP 864,000

Own your villa now and enjoy a premium lifestyle in a prime location with excellent amenities.
-------------------------------------------------------------------------
Elm Tree Park Sarai New Cairo, the first university-centered community, is the latest residential masterpiece launched by Madinet Masr MMHD, one of Egypt’s most trusted and pioneering real estate developers. Set within the iconic Sarai Compound in New Cairo, Elm Tree Park represents a new chapter of integrated living; combining luxury, accessibility, and sustainability in one of the city’s most strategic locations near the New Administrative Capital.

With investments of 11 billion EGP, Elm Tree Park Sarai aims to reshape the future of community living through world-class architecture, lush green spaces, and flexible ownership options tailored for all buyers.",/en/plp/buy/villa-for-sale-cairo-mostakbal-city---future-city-mostakbal-city-compounds-sarai-elan-sarai-8207244.html,True,8207244,"[""https://static.shared.propertyfinder.eg/media/images/listing/01K99YT523J27AF24AT6BF45HB/7a294bf5-f659-4c3c-9b1f-3bc3b3c0daf5/668x452.jpg""]",7,False,False,False,False,30.088159561157227,2025-11-05T12:13:20Z,01K99YT523J27AF24AT6BF45HB,5,"Elan Sarai, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",42354,"Cairo, Mostakbal City - Future City, Mostakbal City Compounds, Sarai",mostakbal-city---future-city-mostakbal-city-compounds-sarai-elan-sarai,TOWER,31.704391479492188,19200000,109714.28571428571,Villa,property,2025-11-05T12:13:20Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-mostakbal-city---future-city-mostakbal-city-compounds-sarai-elan-sarai-8207244.html,175,175,EG,propertyfinder,Standalone Villa 175m AT Sarai With Installments
"[""BA"", ""CP"", ""MR"", ""PG"", ""PP"", ""SP"", ""ST"", ""VW"", ""SE"", ""SS"", ""SY"", ""WC"", ""LB"", ""CO""]",14,"[""Balcony"", ""Covered Parking"", ""Maids Room"", ""Private Garden"", ""Private Pool"", ""Shared Pool"", ""Study"", ""View of Water"", ""Security"", ""Shared Spa"", ""Shared Gym"", ""Walk-in Closet"", ""Lobby in Building"", ""Children's Pool""]",2,3,buy,EGP,"Live in the Villa of Your Dreams with the Lowest Down Payment – A Price That Won’t Be Repeated

Eden Villa inside The Median Compound – Taj City
Prime location with a direct lagoon view
North-facing – Ground + First floor

Unit Details

Area: 177 sqm

Unit type: Eden Villa

Reason for sale: Travel reasons

Special price with continuation of the remaining installments with the developer

Delivery Schedule

Delivery within one and a half years

Immediate delivery upon paying 60% of the total price once the compound is completed

Compound completion in approximately 7 months

Total compound area: 25 acres

Villas and Eden Villas only

Internal Layout

Ground Floor:

3 reception areas

Large kitchen

Bathroom

Private garden

First Floor:

3 bedrooms

Bathroom

Master bedroom with private bathroom

Additional Unit Features

Jacuzzi in the garden (can be removed upon client request)

All compound units include a jacuzzi

Annual installment system

Early delivery option with payment

The Median Compound Features

Villa-only compound offering full privacy

Wide green spaces and landscaping

Lagoons and water features

24/7 security and guarding

Electronic gates

Wide internal roads

Strategic location inside Taj City, close to main roads

Pricing

Asking price: EGP 3,500,000

Paid amount: EGP 2,650,000

Negotiable for serious buyers",/en/plp/buy/villa-for-sale-cairo-mostakbal-city---future-city-mostakbal-city-compounds-sarai-elm-tree-park-8601237.html,True,8601237,"[""https://static.shared.propertyfinder.eg/media/images/listing/TPXPZKM8PWJNV5DAX6K9P2M1W8/08448f7e-ffb5-4387-ab59-a6a4a2b113c6/668x452.jpg""]",7,False,False,False,False,30.104904174804688,2026-01-26T10:18:04Z,TPXPZKM8PWJNV5DAX6K9P2M1W8,5,"Elm Tree Park, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",42378,"Cairo, Mostakbal City - Future City, Mostakbal City Compounds, Sarai",mostakbal-city---future-city-mostakbal-city-compounds-sarai-elm-tree-park,STREET,31.692211151123047,3000000,16949.15254237288,Villa,property,2026-01-26T10:18:04Z,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-mostakbal-city---future-city-mostakbal-city-compounds-sarai-elm-tree-park-8601237.html,177,177,EG,propertyfinder,Villa at the price of an apartment — pay the down
