amenities,amenity_count,bathrooms,bedrooms,category,currency,has_coordinates,id,images,is_price_outlier,is_size_outlier,latitude,location,location_depth,longitude,page,price,price_per_sqft,property_type,record_type,scraped_at_utc,share_url,size,title
"[""CP"", ""SE"", ""BA"", ""BL"", ""LB"", ""BK"", ""SY"", ""SP"", ""CS"", ""BW""]",10,3,2,buy,AED,True,16306537,"[""https://static.shared.propertyfinder.ae/media/images/listing/BW1KKJPE9AMM17Y99PG5YRQ8VC/c3071096-3eed-46f6-8295-edaca0b1b699/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/BW1KKJPE9AMM17Y99PG5YRQ8VC/c3071096-3eed-46f6-8295-edaca0b1b699/668x452.jpg""]",False,False,25.07917594909668,"Vida Residence 1, Vida Residence, The Hills, Dubai",4,55.15739822387695,1,3300000.0,2602.5236593059935,Apartment,property,2026-02-13T15:39:43.479712+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-the-hills-vida-residence-vida-residence-1-16306537.html,1268.0,Exclusive | Skyline View | Large Layout
"[""AC"", ""BA"", ""BK"", ""BL"", ""BW"", ""CP"", ""CS"", ""LB"", ""PA"", ""VC"", ""SE"", ""SP"", ""SY"", ""VW""]",14,3,3,buy,AED,True,16253781,"[""https://static.shared.propertyfinder.ae/media/images/listing/QMRT7X05XZZMFRV5KXJTCQZN38/3f96cea2-5724-4913-8334-c854b8ca2811/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/QMRT7X05XZZMFRV5KXJTCQZN38/3f96cea2-5724-4913-8334-c854b8ca2811/668x452.jpg""]",False,False,25.21103286743164,"Burj Daman, DIFC, Dubai",3,55.28205108642578,1,7790000.0,3725.4901960784314,Apartment,property,2026-02-13T15:39:43.479712+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-difc-burj-daman-16253781.html,2091.0,Premium Furnished 3BR | DIFC View | Exclusive
"[""AC"", ""BW"", ""BK"", ""SE"", ""CS"", ""MS"", ""BA"", ""SY"", ""PJ"", ""CP"", ""MR"", ""PR"", ""PA"", ""BR"", ""SP"", ""VW"", ""BL"", ""WC""]",18,3,2,buy,AED,True,16297514,"[""https://static.shared.propertyfinder.ae/media/images/listing/0YS5KDG9X4VCVBR6Q0WXPN15E0/db57cf66-9522-44a6-99ac-b4f5b48c0577/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/0YS5KDG9X4VCVBR6Q0WXPN15E0/db57cf66-9522-44a6-99ac-b4f5b48c0577/668x452.jpg""]",False,False,25.09979248046875,"Grand Bleu Tower 1, EMAAR Beachfront, Dubai Harbour, Dubai",4,55.141746520996094,1,6750000.0,4285.714285714285,Apartment,property,2026-02-13T15:39:43.479712+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-harbour-emaar-beachfront-grand-bleu-tower-1-16297514.html,1575.0,Brand New | Full Palm View | Vacant
"[""AC"", ""BW"", ""BK"", ""SE"", ""BA"", ""SY"", ""CP"", ""PR"", ""PA"", ""SP""]",10,1,1,buy,AED,True,16297458,"[""https://static.shared.propertyfinder.ae/media/images/listing/6QD30900YHTFAG0B1QCK3BZ1D8/17b4e9d6-892b-4e76-8281-1cf3c856a6e4/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/6QD30900YHTFAG0B1QCK3BZ1D8/17b4e9d6-892b-4e76-8281-1cf3c856a6e4/668x452.jpg""]",False,False,25.081100463867188,"Golf Heights, The Views, Dubai",3,55.156620025634766,1,2509974.0,3333.2988047808767,Apartment,property,2026-02-13T15:39:43.479712+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-the-views-golf-heights-16297458.html,753.0,1 BR Sky Collection | Corner Unit |Racecourse View
"[""AC"", ""BA"", ""SP"", ""SS"", ""SY"", ""CS"", ""CP"", ""VW"", ""PA"", ""BW"", ""WC"", ""BK"", ""MS"", ""PR"", ""CO"", ""BR"", ""SE""]",17,1,1,buy,AED,True,16305721,"[""https://static.shared.propertyfinder.ae/media/images/listing/9GSYMFSZ3AQ1253T2X7XTKD0CM/4431834b-6f7f-4312-9cb8-152b6f0610c4/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/9GSYMFSZ3AQ1253T2X7XTKD0CM/4431834b-6f7f-4312-9cb8-152b6f0610c4/668x452.jpg""]",False,False,25.10200309753418,"Beachgate by Address, EMAAR Beachfront, Dubai Harbour, Dubai",4,55.14405822753906,1,2900000.0,3647.7987421383646,Apartment,property,2026-02-13T15:39:43.479712+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-harbour-emaar-beachfront-beachgate-by-address-16305721.html,795.0,Below OP Deal | Palm View | Genuine Resale
"[""AC"", ""BA"", ""SP"", ""SS"", ""SY"", ""CS"", ""CP"", ""BL"", ""PA"", ""BW"", ""WC"", ""BK"", ""PR"", ""CO"", ""BR"", ""SE"", ""LB"", ""VC""]",18,2,1,buy,AED,True,16305671,"[""https://static.shared.propertyfinder.ae/media/images/listing/PPX4596PH3ZZP9AXT3G3KQGK3G/d01b5f88-f2a2-4c67-8d5b-ca76f453a2d6/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/PPX4596PH3ZZP9AXT3G3KQGK3G/d01b5f88-f2a2-4c67-8d5b-ca76f453a2d6/668x452.jpg""]",False,False,25.232555389404297,"Park Views Residences A, Park Views Residences, Al Kifaf, Zabeel, Dubai",5,55.292476654052734,1,1690000.0,2259.3582887700536,Apartment,property,2026-02-13T15:39:43.479712+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-zabeel-park-views-residences-park-views-residences-a-16305671.html,748.0,High Floor | Investor Deal | Park View
"[""BW"", ""AC"", ""CP"", ""BK"", ""PA"", ""SP"", ""ST"", ""SE"", ""CS"", ""SY"", ""PR"", ""LB"", ""CO""]",13,2,1,buy,AED,True,16299842,"[""https://static.shared.propertyfinder.ae/media/images/listing/7JGF8SYF932ZDEMQC6D50EDCFC/a42671eb-1ee5-4047-8b89-d205d4b98dc1/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/7JGF8SYF932ZDEMQC6D50EDCFC/a42671eb-1ee5-4047-8b89-d205d4b98dc1/668x452.jpg""]",False,False,25.212017059326172,"Limestone House, DIFC, Dubai",3,55.278770446777344,1,3350000.0,2878.0068728522338,Apartment,property,2026-02-13T15:39:43.479712+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-difc-limestone-house-16299842.html,1164.0,Beautiful 1 Bedroom Apt | Floor to Ceiling Windows
"[""AC"", ""BA"", ""SP"", ""SY"", ""SE"", ""CS"", ""MS"", ""CP"", ""BW"", ""WC"", ""BK"", ""BL"", ""PA""]",13,3,2,buy,AED,True,16287533,"[""https://static.shared.propertyfinder.ae/media/images/listing/2TCBGDC42EQ8328GXBGYES94AG/78f1a7cf-efb1-436f-a225-02c5dac6731a/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/2TCBGDC42EQ8328GXBGYES94AG/78f1a7cf-efb1-436f-a225-02c5dac6731a/668x452.jpg""]",False,False,25.194934844970703,"The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai",4,55.28266525268555,2,7500000.0,5613.77245508982,Apartment,property,2026-02-13T15:39:47.216079+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-downtown-dubai-the-address-residence-fountain-views-the-address-residence-fountain-views-1-16287533.html,1336.0,Exclusive | Fountain and Burj Views | High Floor
"[""ST"", ""AC"", ""BA"", ""PY"", ""SY"", ""SE"", ""CS"", ""CP"", ""BW"", ""VW"", ""BL"", ""PA""]",12,1,,buy,AED,True,16287185,"[""https://static.shared.propertyfinder.ae/media/images/listing/ZT25M0ZKHGT7EYRXG44KXF9MYW/f381cc74-189a-4071-85ae-9c628bdd3b5f/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/ZT25M0ZKHGT7EYRXG44KXF9MYW/f381cc74-189a-4071-85ae-9c628bdd3b5f/668x452.jpg""]",False,False,25.08363914489746,"Pelagos by IGO, Dubai Marina, Dubai",3,55.14423751831055,2,1550000.0,4078.9473684210525,Apartment,property,2026-02-13T15:39:47.216079+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-marina-pelagos-by-igo-16287185.html,380.0,Mid Floor | Marina View | Handover Q1 2026
"[""AC"", ""BA"", ""SP"", ""BR"", ""LB"", ""SE"", ""VC"", ""SY"", ""CS"", ""CP"", ""BL"", ""PA"", ""ST"", ""BW"", ""BK"", ""PR"", ""CO""]",17,1,1,buy,AED,True,16293821,"[""https://static.shared.propertyfinder.ae/media/images/listing/92H5G2HSGQ2KKE9MDWZBQDY41M/e77215ac-12d7-4f9a-9d30-56f3514907f1/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/92H5G2HSGQ2KKE9MDWZBQDY41M/e77215ac-12d7-4f9a-9d30-56f3514907f1/668x452.jpg""]",False,False,25.114503860473633,"Collective 2.0 Tower A, Collective 2.0 at Dubai Hills Estate, Dubai Hills Estate, Dubai",4,55.24782943725586,1,1280000.0,2622.9508196721313,Apartment,property,2026-02-13T15:39:43.479712+00:00,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-hills-estate-collective-20-at-dubai-hills-estate-collective-20-tower-a-16293821.html,488.0,Fully Furnished | High ROI | Best Amenities
