amenities,amenity_count,bathrooms,bedrooms,category,currency,has_coordinates,id,images,is_price_outlier,is_size_outlier,latitude,location,location_depth,longitude,page,price,price_per_sqft,property_type,record_type,scraped_at_utc,share_url,size,title
"[""BA"", ""BW"", ""AC""]",3,3,3,rent,AED,True,16295055,"[""https://static.shared.propertyfinder.ae/media/images/listing/KE58QH7N0S7Z8GRH53B25FJKMW/f971d997-4f49-40a5-97da-c1e7a7013bca/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/KE58QH7N0S7Z8GRH53B25FJKMW/f971d997-4f49-40a5-97da-c1e7a7013bca/668x452.jpg""]",False,False,25.11564064025879,"Al Liwan Building, Dubai Silicon Oasis, Dubai",3,55.38821029663086,8,115000.0,63.888888888888886,Apartment,property,2026-02-13T13:38:16.242976+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-silicon-oasis-al-liwan-building-16295055.html,1800.0,3BHK Apartment | Closed Kitchen | Spacious Living
[],0,3,2,rent,AED,True,16294304,"[""https://static.shared.propertyfinder.ae/media/images/listing/3W4E82ESTAWCJZT7Y2P8CENTPR/c15e093e-7749-419b-acda-bb95d99071d3/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/3W4E82ESTAWCJZT7Y2P8CENTPR/c15e093e-7749-419b-acda-bb95d99071d3/668x452.jpg""]",False,False,25.23429298400879,"Park Gate Residence 4, Park Gate Residences, Al Kifaf, Zabeel, Dubai",5,55.2939567565918,8,155000.0,98.66327180140038,Apartment,property,2026-02-13T13:38:16.243433+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-zabeel-park-gate-residences-park-gate-residence-4-16294304.html,1571.0,Spacious 2-Bedroom| Prime Location | Modern Finish
"[""BA"", ""BW"", ""AC"", ""CP"", ""BK"", ""SP"", ""SY"", ""PR"", ""LB""]",9,1,1,rent,AED,True,16088595,"[""https://static.shared.propertyfinder.ae/media/images/listing/TS0QPFM9HZKKPMG4Z67E3S7G54/dd51bc12-23a2-4c9a-8782-e2a5951fcaf4/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/TS0QPFM9HZKKPMG4Z67E3S7G54/dd51bc12-23a2-4c9a-8782-e2a5951fcaf4/668x452.jpg""]",False,False,25.022165298461914,"Golf Gate, DAMAC Hills, Dubai",3,55.24278259277344,8,84900.0,135.62300319488818,Apartment,property,2026-02-13T13:38:16.243433+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-damac-hills-golf-gate-16088595.html,626.0,Golf Gate 1BR | Vacant | Prime Location
"[""AC"", ""BA"", ""SP"", ""SY"", ""CP"", ""BL"", ""BW"", ""CO"", ""BR"", ""SE"", ""LB""]",11,1,1,rent,AED,True,16101231,"[""https://static.shared.propertyfinder.ae/media/images/listing/NYJ21GYZN5EJS5QW01057C0GF8/d9a2710b-b4d1-46f8-9ac3-9f1f9b431010/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/NYJ21GYZN5EJS5QW01057C0GF8/d9a2710b-b4d1-46f8-9ac3-9f1f9b431010/668x452.jpg""]",False,False,25.20560073852539,"Savanna at Creek Beach Tower 2, Savanna at Creek Beach, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai",5,55.35015106201172,8,115000.0,171.13095238095238,Apartment,property,2026-02-13T13:38:16.243433+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-creek-beach-savanna-at-creek-beach-savanna-at-creek-beach-tower-2-16101231.html,672.0,Brand New | Luxurious | Morden Layout
[],0,3,2,rent,AED,True,16272851,"[""https://static.shared.propertyfinder.ae/media/images/listing/56T94HVHMRRA2DM402P569V06G/fff5bdcf-e0cd-4227-9a71-ab8646c29d02/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/56T94HVHMRRA2DM402P569V06G/fff5bdcf-e0cd-4227-9a71-ab8646c29d02/668x452.jpg""]",False,False,25.047626495361328,"Binghatti Venus, District 13, Jumeirah Village Circle, Dubai",4,55.210594177246094,8,125000.0,115.84800741427247,Apartment,property,2026-02-13T13:38:16.243433+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-district-13-binghatti-venus-16272851.html,1079.0,Multiple Cheques | Vacant Now | View Today
"[""AC"", ""BA"", ""SP"", ""SY"", ""SE"", ""CP"", ""BW""]",7,3,2,rent,AED,True,16247729,"[""https://static.shared.propertyfinder.ae/media/images/listing/S6W0WZZ6RDPPY0DZV0RN2Y5YRW/351dbd0c-ab44-4e51-932f-ffb7ff5e183c/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/S6W0WZZ6RDPPY0DZV0RN2Y5YRW/351dbd0c-ab44-4e51-932f-ffb7ff5e183c/668x452.jpg""]",False,False,25.044570922851562,"Rabdan Building, Motor City, Dubai",3,55.2280158996582,8,120000.0,99.83361064891847,Apartment,property,2026-02-13T13:38:16.243433+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-motor-city-rabdan-building-16247729.html,1202.0,Vacant soon | Spacious Layout with Balcony
"[""BK"", ""BA""]",2,2,2,rent,AED,True,16157235,"[""https://static.shared.propertyfinder.ae/media/images/listing/CDGKBC6MG3ECX1F7PMHEZP6VY4/ea34f48e-f7d2-44b3-a24b-a8afbca5c35f/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/CDGKBC6MG3ECX1F7PMHEZP6VY4/ea34f48e-f7d2-44b3-a24b-a8afbca5c35f/668x452.jpg""]",False,False,25.089427947998047,"Al Arta 4, Al Arta, Greens, Dubai",4,55.174137115478516,8,130000.0,122.87334593572778,Apartment,property,2026-02-13T13:38:16.243433+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-greens-al-arta-al-arta-4-16157235.html,1058.0,Bright and Spacious 2 Bedroom Apartment
"[""BA"", ""BR"", ""BW"", ""AC"", ""CP"", ""SP"", ""SE"", ""CS"", ""SS"", ""SY""]",10,3,2,rent,AED,True,16126121,"[""https://static.shared.propertyfinder.ae/media/images/listing/T4AE2PSBMPNAKS9DJZP6HEEMN4/6059d24f-6b0f-4079-a460-3282ce9138bf/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/T4AE2PSBMPNAKS9DJZP6HEEMN4/6059d24f-6b0f-4079-a460-3282ce9138bf/668x452.jpg""]",False,False,25.23886489868164,"La Rive Building 2, La Rive, Port de La Mer, La Mer, Jumeirah, Dubai",6,55.254783630371094,8,200000.0,149.92503748125938,Apartment,property,2026-02-13T13:38:16.243433+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-la-mer-port-de-la-mer-la-rive-la-rive-building-2-16126121.html,1334.0,SPACIOUS LIVING ROOM | PARTIAL SEA VIEW | BEACH
"[""BA"", ""BW"", ""AC"", ""CP""]",4,3,2,rent,AED,True,16287177,"[""https://static.shared.propertyfinder.ae/media/images/listing/Q1JTSMWDBB3090C49XHR400FZR/9e8cbbb3-e9fa-4954-9216-0c4424e04555/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/Q1JTSMWDBB3090C49XHR400FZR/9e8cbbb3-e9fa-4954-9216-0c4424e04555/668x452.jpg""]",False,False,25.047765731811523,"The Imperial Residence A, The Imperial Residence, Jumeirah Village Triangle, Dubai",4,55.1949577331543,8,100000.0,90.00900090009002,Apartment,property,2026-02-13T13:38:16.243939+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-triangle-the-imperial-residence-the-imperial-residence-a-16287177.html,1111.0,CHILLER FREE l FULLY FURNISHED l VACANT NOW
"[""AC"", ""BK"", ""BL"", ""BW"", ""CP"", ""CS"", ""LB"", ""PA"", ""SE"", ""SP"", ""SS"", ""SY"", ""VW"", ""WC"", ""CO""]",15,2,1,rent,AED,True,16161237,"[""https://static.shared.propertyfinder.ae/media/images/listing/GQS0NYETA4BS5MQFK80336WR0G/a1f67dc1-5925-4b1e-b145-396d46fd0990/416x272.jpg"", ""https://static.shared.propertyfinder.ae/media/images/listing/GQS0NYETA4BS5MQFK80336WR0G/a1f67dc1-5925-4b1e-b145-396d46fd0990/668x452.jpg""]",True,False,25.21103286743164,"Burj Daman, DIFC, Dubai",3,55.28205108642578,8,395000.0,281.53955808980754,Apartment,property,2026-02-13T13:38:16.243939+00:00,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-difc-burj-daman-16161237.html,1403.0,Furnished 1BR - Zabeel and BurjÂ View
