iter	RMSE
0	10676266.25
1	9712113.898
2	8825241.888
3	8032210.403
4	7389419.267
5	6734841.62
6	6159828.351
7	5626142.416
8	5171198.609
9	4730488.58
10	4338591.421
11	3991134.322
12	3702209.367
13	3406912.703
14	3141539.219
15	2901644.723
16	2692660.307
17	2500116.605
18	2341546.675
19	2193075.841
20	2055777.669
21	1932788.759
22	1821728.065
23	1720707.341
24	1640755.982
25	1563309.425
26	1496554.297
27	1439261.648
28	1386794.291
29	1331039
30	1285376.452
31	1243901.068
32	1203435.291
33	1164287.537
34	1132996.323
35	1110353.465
36	1088483.046
37	1066017.884
38	1044674.633
39	1028280.232
40	998527.2017
41	981803.839
42	971500.9662
43	963999.8223
44	953855.9701
45	934935.8431
46	916718.9977
47	908418.7015
48	902617.7263
49	884763.7106
50	880184.8404
51	876465.6427
52	868985.7904
53	863690.7219
54	853444.6892
55	850673.7432
56	835952.1972
57	819124.806
58	816892.2086
59	809512.1481
60	804283.2293
61	800438.467
62	798361.4336
63	795527.4992
64	793913.5265
65	789380.2018
66	780704.2414
67	773132.3435
68	772079.9968
69	770300.7132
70	760465.8303
71	758413.427
72	755534.9797
73	752897.9317
74	742215.7631
75	731177.5868
76	721964.1536
77	714827.7245
78	706139.4005
79	704418.5752
80	698335.2658
81	691248.8541
82	685542.2686
83	676558.7549
84	666914.6518
85	661199.7463
86	659955.0074
87	658491.8444
88	656239.9553
89	651536.9514
90	644806.3959
91	634284.7274
92	626460.7355
93	621205.7215
94	612522.1845
95	606764.3848
96	601501.6894
97	597494.0917
98	591673.2185
99	590053.1705
