iter	Passed	Remaining
0	70	7028
1	150	7357
2	219	7083
3	302	7267
4	383	7277
5	462	7242
6	575	7649
7	673	7745
8	754	7624
9	844	7600
10	922	7466
11	1001	7346
12	1090	7301
13	1169	7183
14	1246	7061
15	1325	6959
16	1404	6855
17	1482	6752
18	1560	6653
19	1638	6552
20	1725	6491
21	1803	6395
22	1880	6293
23	1956	6194
24	2032	6097
25	2109	6005
26	2184	5906
27	2261	5814
28	2337	5723
29	2415	5635
30	2500	5565
31	2581	5486
32	2656	5393
33	2732	5304
34	2850	5293
35	2941	5228
36	3017	5138
37	3097	5053
38	3175	4966
39	3250	4876
40	3324	4784
41	3398	4693
42	3474	4605
43	3550	4518
44	3626	4431
45	3701	4344
46	3776	4258
47	3854	4175
48	3928	4088
49	4003	4003
50	4079	3919
51	4155	3835
52	4230	3751
53	4305	3667
54	4380	3584
55	4455	3500
56	4530	3417
57	4607	3336
58	4688	3258
59	4784	3189
60	4899	3132
61	4976	3050
62	5056	2969
63	5156	2900
64	5268	2836
65	5346	2754
66	5434	2676
67	5512	2594
68	5589	2511
69	5666	2428
70	5743	2345
71	5831	2267
72	5910	2186
73	5986	2103
74	6063	2021
75	6140	1939
76	6218	1857
77	6295	1775
78	6377	1695
79	6455	1613
80	6530	1531
81	6615	1452
82	6692	1370
83	6793	1294
84	6905	1218
85	7034	1145
86	7127	1065
87	7204	982
88	7282	900
89	7360	817
90	7453	737
91	7585	659
92	7677	577
93	7765	495
94	7844	412
95	7922	330
96	8000	247
97	8079	164
98	8158	82
99	8236	0
